Attribute|Class|Title|Formula|Explanation|Reference
Eq 13|Action|Palatini action|$S_{pal}=\frac{1}{2\kappa}\intop d^{4}x\sqrt{-g}f(\Re)+S_{M}(g_{\mu\nu},\psi)$|The metric and connection are independent. Variation not on the connection. Note the new Ricci tensor is constructed with an independent connection:  $\Re=g_{\mu\nu}R_{\mu\nu}$.|
Eq 5|Action|Total action|$S_{met}=\frac{1}{2\kappa}\intop d^{4}x\sqrt{-g}f(R)+S_{M}(g_{\mu\nu},\psi)$|Total action for a metric $f(R)$.|
General Action|Action|Metric General Action|$S=\int\left[k_{1}F\left(R,\mathcal{L_{M}}\right)+k_{2}\mathcal{L_{M}}\right]\sqrt{-g}d^{4}x$||
General Action Palatini|Action|Palatini General Action|$S=\int\left[k_{1}F\left(\Re,\mathcal{L_{M}}\right)+k_{2}\mathcal{L_{M}}\right]\sqrt{-g}d^{4}x$||
SM1|Action|Matter term|$S_{M}=S_{M}(g_{\mu\nu},\psi)$||
SM2|Action|Affine matter term|$S_{M}=S_{M}(g_{\mu\nu},\Gamma_{\mu\nu}^{\lambda},\psi)$||
Const < 0|Cond|$R=Const<0$||Ricci scalar is constant and negative at all points.|
Const > 0|Cond|$R=Const>0$||Ricci scalar is constant and positive at all points.|
f(R) = R|Cond|$f(R)=R$||The function dependent on the Ricci scalar is of first order.|
f(R) ≠ R|Cond|$f(R)\neqR$||The function dependent on the Ricci scalar is of high order.|
f(R*) = R*|Cond|$f(\Re)=\Re$||The function of the affine curvature scalar is of first order|
f(R*) ≠ R*|Cond|$f(\Re)\neq\Re$||The function of the affine curvature scalar is of high order|
f’(R) = 1|Cond|$f’(R)=1$||The first derivative of the function dependent on the Ricci scalar is one.|
f’(R*) = 1|Cond|$f’(\Re)=1$|||
f’’(R) = 0|Cond|$f’’(R) =0$||The second derivative of the function of the Ricci scalar is zero.|
f’’(R) ≠ 0|Cond|$f’’(R)≠-0$||The second derivative of the function of the Ricci scalar is not zero.|
f’’(R*) = 0|Cond|$f''(\Re)=0$||The second derivative of the function of the affine curvature scalar is zero.|
f’’(R*) ≠ 0|Cond|$f''(\Re)\neq0$||The second derivative of the function of the affine curvature scalar is not zero.|
Non Metricity = 0|Cond|Non metricity tensor vanishes|$Q_{\mu\nu\lambda}=0$,|Homogeneous Trautman condition.|
R = 0|Cond|$R=0$||The Ricci scalar is zero.|
R = Const|Cond|$R=Const.$||The Ricci scalar is constant.|
T = 0|Cond|$T_{\mu\nu}\rightarrow0$: Dust||Energy momentum tensor is almost zero; models for dust.|
Torsion = 0|Cond|Cartan torsion tensor vanishes|$S_{\mu\nu}^{\lambda}=0$|Homogeneous Trautman Condition $\widetilde{R}_{bd}^{ac}=\widetilde{R}_{db}^{ca}$.|
Weyl Vector = 0|Cond|Weyl vector vanishes|$Q_{\mu}=0$||
k1 = c3/16piG|ElemDis|Coupling constant|$k_{1}=\frac{c^{3}}{16\pi G}$||
k2 = 1/c|ElemDis|Coupling constant|$k_{2}=\frac{1}{c}$||
Einstein’s Eq|FieldEq|Einstein’s field equation|$G_{1}^{*}G_{2}^{*}Ric-\frac{1}{2}Rg^{*}=-8\pi kT$|Matter tells space how tu curve, and Curvature tells matter how to move.|
Eq 18|FieldEq|Palatini field equation 1|$f'(\Re)\Re_{\mu\nu}-\frac{1}{2}f(\Re)g_{\mu\nu}=\kappa T_{\mu\nu}$||
Eq 19|FieldEq|Palatini field equation 2|$\bar{\nabla}_{\lambda}(\sqrt{-g}f'(\Re)g^{\mu\nu})=0$|($\bar{\nabla}_{\lambda}$) is the covariant derivative defined with the independent connection.|
Eq 46|FieldEq|Field Equation|$f'(\Re)\Re_{(\mu\nu)}-\frac{1}{2}f(\Re)g_{\mu\nu}=\kappa T_{\mu\nu}$||
