Attribute|Class|Title|Formula|Explanation|Reference
Eq 5|Action|Total action|$S_{met}=\frac{1}{2\kappa}\intop d^{4}x\sqrt{-g}f(R)+S_{M}(g_{\mu\nu},\psi)$|Total action for a metric $f(R)$.|
Eq 5-30|Action|Action for scalar-tensor theories|$\ensuremath{I=(16\pi)^{-1}\int\left[\phi R-\phi^{-1}w(\phi)g^{\mu\nu}\phi_{,\mu}\phi_{,\nu}+2\phi\lambda(\phi)\right]\times\left(-g\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})}$||Will, 1993, p. 123
Eq 5-45|Action|Action for vector-tensor theories|$I=(16\pi G)^{-1}\int\left[R+wK_{\mu}K^{\mu}R+nK^{\mu}K^{\nu}R_{\mu\nu}-\epsilon F_{\mu\nu}F^{\mu\nu}+\tau K_{\mu;\nu}K^{\mu;\nu}\right]\left(-g\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$,<br>where $F_{\mu\nu}=K_{\nu;\mu}-K_{\mu;\nu}$||Will, 1993, p. 127 Eq 5.45
Eq 5-67|Action|Action Rosen Bimetric theory|$I=-(16\pi G)^{-1}\int\eta^{\mu\nu}g^{\alpha\beta}g^{\gamma\delta}\left(g_{\alpha\gamma\mid\mu}g_{\beta\delta\mid\nu}-\frac{1}{2}g_{\alpha\beta\mid\mu}g_{\gamma\delta\mid\nu}\right)\times\left(-\eta\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$||Will, 1993, p. 131
Eq 5-73|Action|Action Rastall Bimetric theory|$I=-(16\pi G)^{-1}\int F(N)K^{\mu;\nu}K_{\mu;\nu}\left(-g\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$||Will, 1993, p. 132
Eq 5-82|Action|Action BSLL Bimetric theories|$I=-(16\pi)^{-1}\int\left(aB^{\mu\nu\mid\alpha}B_{\mu\nu\mid\alpha}+fB_{,\alpha}B^{,\alpha}\right)\left(-n\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$||Will, 1993, p. 134
Eq 5-93|Action|Action for stratified theories|$I=(8\pi)^{-1}\int\left[e^{-1}K^{\mu\mid\nu}K_{\mu\mid\nu}-\phi_{,\mu}\phi^{,\mu}-\left[f_{3}\left(\phi\right)+1\right]\left(\phi_{,\mu}t^{,\mu}\right)^{2}+\kappa_{1}B^{\mu\nu\mid\alpha}B_{\mu\nu\mid\alpha}+\kappa_{2}B_{\mid\nu}^{\mu\nu}\phi_{,\mu}\right]\left(-n\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$||Will, 1993, p. 136
SM1|Action|Matter term|$S_{M}=S_{M}(g_{\mu\nu},\psi)$||
Curvature = 0|Cond||$Riem(\Gamma)=0$|Riemann’s curvature tensor of the affine connection is zero. Found as $K=0$ in Friedman. It is one of Trautman’s homogenous condition.|Friedman, 1983, p. 78, 88, 93, 129
D(g) = 0|Cond||$\overline{D}(g)=0$|Condition that preserves angles and distances when parallel transporting along a curve.|Friedman, 1983, p. 129, 180
e = 0|Cond|$\epsilon=0$|||Will, 1993, p. 117 Table 5.1, p. 129
e = 1|Cond|$\epsilon=1$|||Will, 1993, p. 117 Table 5.1, p. 130
f(R) = R|Cond|$f(R)=R$||The function dependent on the Ricci scalar is of first order.|
f’(R) = 1|Cond|$f’(R)=1$||The first derivative of the function dependent on the Ricci scalar is one.|
f’’(R) = 0|Cond|$f’’(R) =0$||The second derivative of the function of the Ricci scalar is zero.|
lambda = 0|Cond|$\lambda(\phi)=0$||Nordtvedt's (1970b) scalar-tensor theory is equivalent to the Bergmann-Wagoner theory in the special case of zero cosmological function $\lambda\equiv0$|Will, 1993, p. 125
n = -2w|Cond|$\eta = -2w$|||Will, 1993, p. 117 Table 5.1, p. 130
n = 0|Cond|$\eta = 0$|||Will, 1993, p. 117 Table 5.1, p. 130
tau = 0|Cond|$\tau=0$||In this case, no constraint is placed on the vector field.|Will, 1993, p. 117 Table 5.1, p. 127, 128
tau = 1|Cond|$\tau=1$||This represents a constraint on the gauge of the vector field $k_{\mu}$ imposed by the lack of full gauge invariance of the action $I$.|Will, 1993, p. 117 Table 5.1, p. 127, 128
w = 0|Cond|$w\rightarrow\infty$|||
w-inf|Cond|$w\rightarrow\infty$|||
w’ = 0|Cond|$w’=0$|$w(\phi)\equiv constant$||
a, b, c, d|Cosmo|Cosmological matching parameters|$a$, $b$, $c$, $d$||Will, 1993, p. 117 Table 5.1, p. 135
c0, c1|Cosmo|$C_{0}$, $C_{1}$: Cosmological matching parameters||In the universe rest frame, g then has the asymptotic form $diag(-c_{0},c_{1},c_{1},c_{1})$, where $c_{0}$ and $c_{1}$  may vary on a Hubble timescale. |Will, 1993, p. 131, 135
K0|Cosmo|$K$: Cosmological matching parameter|||
lambda|Cosmo|$\lambda(\phi)$: Cosmological function||$\lambda(\phi)$ causes two effects: in the field equation for $g$ it plays the same role as the cosmological constant in GR, and, in the field equation, it gives $(\phi)$ a range l related to $\lambda$, $w$ and their derivatives, in the sense that the solutions for $(\phi)$ for an isolated system contain Yukawa-like terms $exp\left(-r/l\right)$.|Will, 1993, p. 123
Phi0|Cosmo|$\phi_{0}$: Cosmological matching parameter||For chosen values for $r$ and $q$, the present values of $w$ and $\Lambda$ are determined by the asymptotic value $\phi_{0}$, which in turn is found through a cosmological solution using the theory. |Will, 1993, p. 125
w0, w1|Cosmo|$w_{0}$, $w_{1}$: Cosmological matching parameters|||
G 5-101|ElemDis|Gravitational “constant”|$G_{today}=c^{2}c_{1}^{\frac{1}{2}}c_{0}^{\frac{-3}{2}}(1+\kappa_{2}^{2}/4\kappa_{1})^{-1}=1$||
G 5-38|ElemDis|Gravitational “constant”|$G_{today}\equiv\phi_{0}^{-1}\left(\frac{4+2w}{3+2w}\right)=1$||
G 5-61|ElemDis|Gravitational “constant”|$G_{today}\equiv G\left[\frac{1}{2}\left(\gamma+1\right)+\frac{3}{2}wK^{2}\left(\gamma-1\right)-\frac{1}{2}\left(\eta-\tau\right)K^{2}\left(1+\sigma\right)\right]^{-1}=1$||
G 5-63|ElemDis|Gravitational “constant”|$G_{today}=\frac{G}{(1+\frac{1}{2}K^{2})}=1$||
G 5-65|ElemDis|Gravitational “constant”|$G_{today}=G\left[wK^{2}(\gamma+1)\right]^{-1}=1$||
G 5-70|ElemDis|Gravitational “constant”|$G_{today}=G(c_{0}c_{1})^{\frac{1}{2}}=1$||
G 5-89|ElemDis|Gravitational “constant”|$G_{today}\equiv\frac{a+3f-4Ka-16K^{2}a}{2a(a+4f)}+O(w)=1$||
G = 1|ElemDis|Gravitational “constant”|$G_{today}=1=\left[constant\right]$||
Einstein’s Eq|FieldEq|Einstein’s field equation|$G_{1}^{*}G_{2}^{*}Ric-\frac{1}{2}Rg^{*}=-8\pi kT$|Matter tells space how tu curve, and Curvature tells matter how to move.|
Eq 5-31|FieldEq|Field Equation|$R_{\mu\nu}-\frac{1}{2}g_{\mu\nu}R-\lambda(\phi)g_{\mu\nu}=8\pi\phi^{-1}T_{\mu\nu}+\phi^{-2}w(\phi)(\phi,_{\mu}\phi,_{\nu}-\frac{1}{2}g_{\mu\nu}\phi,_{\lambda}\phi^{,\lambda})+\phi^{-1}(\phi_{;\mu\nu}-g_{\mu\nu}\oblong_{g}\phi)$,<br>$\oblong_{g}\phi+\frac{2\phi^{2}\frac{d\lambda}{d\phi}-3\phi\lambda(\phi)}{3+2w(\phi)}=\frac{1}{3+2w(\phi)}\left(8\pi T-\frac{dw}{d\phi}\phi,_{\mu}\phi^{,\mu}\right)$|The field equation is derived from the action 5-30.|Will, 1993, p. 123
Eq 5-47|FieldEq|Field equations for Vector-Tensor theories|$R_{\mu\nu}-\frac{1}{2}g_{\mu\nu}R-w\Theta_{\mu\nu}^{(w)}+\eta\Theta_{\mu\nu}^{(\eta)}+\epsilon\Theta_{\mu\nu}^{(\epsilon)}+\tau\Theta_{\mu\nu}^{(\tau)}=8\pi GT_{\mu\nu}$,<br>$\epsilon F_{;\nu}^{\mu\nu}+\frac{1}{2}\tau K_{;\nu}^{\mu;\nu}-\frac{1}{2}wK^{\mu}R-\frac{1}{2}\eta K^{\nu}R_{\nu}^{\mu}=0$||Will, 1993, p. 127
