Attribute|Class|Title|Formula|Explanation|Reference
Cotiempo|Chronogeometrical|Cotiempo||Por cada $t$, $t'\in I$, los cotiempos asociados son tales que $\frac{\partial X_{0}}{\partial X'_{0}}$ existe y es positiva.|Bunge, 1967, SR 8
E3|Chronogeometrical|E3: Espacio físico euclideano||$E^{3}$ es un espacio euclideano 3-dimensional.<br>$E^{3}$ representa (mapea) el espacio ordinario.|Bunge, 1967, PM 1.2
E3R|Chronogeometrical|E3R: Una variedad que mapea el espacio local||$E^{3}$ es un espacio euclideano tridimensional con producto interno.<br>$E^{3}$ representa al espacio ordinario relativo a (como visto desde) cualquier $i\subset I$ dado.|Bunge, 1967, SR 4
Localidad|Chronogeometrical|Localidad||Para cualquier punto $x\in M^{4}$ existe una vecindad de $x$ sobre la cual se puede dar un sistema de coordenadas local tal que $x^{0}$ es una coordenada de tiempo (local) y $x^ {1}$, $x^{2}$ y $x^{3}$ son coordenadas espaciales (locales).<br>Aproximadamente: el espacio tangente de $M^{4}$ en cualquier $x\in M^{4}$ es el espacio-tiempo.|Bunge, 1967, GR 2.3
M3|Chronogeometrical|M3: Variedad que representa el espacio físico||$M^{3}$ es una variedad diferenciable 3-dimensional.<br>$M^{3}$ representa el espacio físico.|Bunge, 1967, CEM 1.4
M4|Chronogeometrical|M4: Variedad de 4D||$M^{4}$ es una variedad diferenciable 4-dimensional de clase $C^{2}$.<br>Para cada punto $x\subset M^{4}$, existe una vecindad de $x$ sobre la cual un sistema de coordenadas local puede ser dado (definido).<br>las funciones $f^{\mu}$ que mapean conjuntos de coordenadas vecinas entre sí son continuas y tienen derivadas continuas hasta de segundo orden en $M^{4}$.<br>$M^{4}$ representa el espacio físico.|Bunge, 1967, GR 2.1
Rango de Tiempo|Chronogeometrical|tR: El rango de la función de hora local||$T$ es un intervalo de línea real<br>$T$ es el rango de la función de tiempo que satisface los axiomas de la teoría del tiempo local.<br>Cada subconjunto $t\subset T$ representa un instante de tiempo t.|Bunge, 1967, SR 5
Tiempo|Chronogeometrical|Tiempo||$T$ es un intervalo de línea real.<br>Cada $t$ representa un instante de tiempo.<br>La relación $\leq$ que ordena $T$ significa “más temprano que, o simultáneo a”.|Bunge, 1967, PM 1.1
c|ElemDis|Magnitud de la velocidad de las señales electromagnéticas en el vacío.||$c$ es un número real positivo tal que $\left[d\right]=LT^{-1}$.<br>Cada $s\in S$ se propaga en el vacío, relativo a cualquier $i\in I$, con movimiento rectilíneo uniforme a la velocidad $c$.|Bunge, 1967, SR 7, CEM 1.9
kappa|ElemDis|$\kappa$: la constante de Einstein||$\kappa$ es un número real positivo con dimensión $L^{-1}M^{-1}T^{2}$.<br>$\kappa$ representa el acoplamiento de $\sigma$ con $\bar{\sigma}$.|Bunge, 1967, GR 6.1
Campos Electromagnéticos|Family|Campos electromagnéticos||$\Phi$ es un conjunto no vacío.<br>Cada $\Phi$ es un campo electromagnético.|Bunge, 1967, CEM 1.1
Conexión Afín|Family|Conexión afín: el Potencial gravitacional||Por cada $\sigma\in \Sigma$ existe un tensor métrico $g$ cuya afinidad métrica asociada $\Gamma$ representa la fuerza de $\sigma$.|Bunge, 1967, GR 3.4
Densidad de Carga|Family|Densidad de carga||$\left\{ \rho\right\} $ es una familia de funciones no vacía.<br>Cada $\rho$ es una función escalar de $\beta\times M^{3}\times T$ a $\mathbb{R}$<br>Si $b\hat{=}\sigma$, entonces $\rho(b,x,t)$ representa la densidad de carga de $\sigma$ en $x$,$t$.|Bunge, 1967, CEM 1.5
Densidad de Fuerza|Family|Densidad de fuerza||Cada $f_{b}\in\left\{ f_{b}\right\} $ es un campo vectorial real y acotado sobre $\beta\times K\times E^{3}\times T$.<br>Si $b\hat{=}\sigma$, entonces $f_{b}(b,k,x,t)$ representa la fuerza por unidad de volumen sobre el cuerpo $\sigma$.|Bunge, 1967, CM 3.1
Densidad de Masa|Family|Densidad de masa||Cada $\rho\in\left\{ \rho\right\} $ es una función continua y acotada de $\beta$ al conjunto de los reales no negativos.<br>Si $b\hat{=}\sigma$, entonces $\rho(b,x,t)$ representa la densidad de masa de $\rho$ en $x$,$t$.|Bunge, 1967, CM 1.5
Estrés|Family|Estrés del cuerpo||Cada $\mathrm{T\in\left\{ \mathrm{T}\right\} }$ es un campo tensorial real y acotado de valencia (2,0) sobre $\beta\times K\times E^{3 }\times T$.<br>Si $b\hat{=}\sigma$ y $beta\hat{=}\pi$, entonces $\mathrm{T(\beta,K,x,t)}$ representa la tensión del cuerpo en la partícula $ \pi\dot{\in}\sigma$.|Bunge, 1967, CM 3.2
Fuerza entre Partículas|Family|Fuerza entre partículas||Cada $F^{i}\in\left\{ F^{i}\right\} $ es un vector real evaluado en $\Sigma\times\Sigma\times K\times E^{3}\times T$.<br>El valor de $F^{i}$ en una séptupla dada $\left\langle \sigma,\sigma',k,x,t\right\rangle $ representa la fuerza ejercida por $\sigma'$ on $sigma$ relativa a $k$ en $x$ y $t$.|Bunge, 1967, PM 3.4
Fuerza Externa|Family|Fuerza externa||Cada $F^{e}\in\left\{ F^{e}\right\}$ es un vector de valor real en $\Sigma\times K\times E^{3}\times T$.<br>El valor de $F^{e}$ en cualquier 6-tupla $\left\langle \sigma,k,x,t\right\rangle $ representa la fuerza externa que actúa sobre $\sigma$, relativa al marco $k$, en el lugar $x$ y en el instante $t$.|Bunge, 1967, PM 3.3
Masa|Family|Familia de funciones representando la masa||$M$ Es una función de $\Sigma$ al conjunto $\mathbb{R^{+}}$ de reales no negativos.<br>El valor de $M$ en $\sigma,\in\Sigma$ representa la masa (inertia) de $\sigma$.|Bunge, 1967, PM 3.1
PM 2.4|Family|Eventos y trayectoria del movimiento||Para cada $\sigma\in\Sigma$, y cada $k\in K$, cada $X\in\left\{ X\right\} $ es una función continua y de valor real de $T$ a $E^ {3}$<br>Para cada $\sigma\in\Sigma$ y cada $k\in K$, $\dot{X}$ es una función continua por partes y de valor real desde $T$ hasta $E^{3}$.<br>$X(\sigma,k,t)$ representa la posición de $\sigma$, relativa al marco $k$ en el instante $t$.<br>Cada quíntuple $\left\langle \sigma,X_{1},X_{2},X_{3},t\right\rangle $ representa un evento.<br>Para cualquier $\sigma\in\Sigma $ y cualquier $k\in K$ dado, el conjunto $\left\{ X(\sigma,k,t)\mid t\in T\right\} $representa un trayectoria (movimiento) de $\sigma$.|Bunge, 1967, PM 2.4
Tensor Energía-momentum|Family|Tensor de Estrés-Energía-Momento||Una familia de campos tensoriales representando la totalidad del tensor de energía-momento-estrés (e.m. + mecánicos) de los miembros de $\bar{\sigma}$<br>$\mathrm{T}$ es un campo tensor simétrico contravariante en $V\subset M^{4}$.<br>$\mathrm{T}$ representa la energía, el impulso y la tensión de todos los sistemas $\bar{\sigma}\in\bar{\Sigma}$ en $V$.|Bunge, 1967, GR 5.1
Velocidad y aceleración|Family|Velocidad y aceleración||Las derivadas $\dot{X}$ y $\ddot{X}$ existen y están acotadas para cada $X\in\left\{ X\right\} $, cada $\beta\in b$, cada $k \in K$ y cada $t\in T$.<br>Si $\beta\hat{=}\pi$ y $\pi\dot{\in}\sigma$, entonces $\dot{X}(\beta,k,t)$ y $\ddot{X}( \beta,k,t)$ representan la velocidad y la aceleración respectivamente de la partícula $\pi$ en el cuerpo $\sigma$ en relación con el marco en el tiempo $t$.|Bunge, 1967, CM 2.3
