Attribute|Class|Title|Formula|Explanation|Reference
Ec. 5|Action|Acción total para la métrica $f(R)$.|$S_{met}=\frac{1}{2\kappa}\intop d^{4}x\sqrt{-g}f(R)+S_{M}(g_{\mu\nu},\psi)$||
Ec. 5-30|Action|Acción para las teorías escalares-tensoriales|$\ensuremath{I=(16\pi)^{-1}\int\left[\phi R-\phi^{-1}w(\phi)g^{\mu\nu}\phi_{,\mu}\phi_{,\nu}+2\phi\lambda(\phi)\right]\times\left(-g\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})}$||Will, 1993, p. 123
Ec. 5-45|Action|Acción para las teorías vectoriales-tensoriales|$I=(16\pi G)^{-1}\int\left[R+wK_{\mu}K^{\mu}R+nK^{\mu}K^{\nu}R_{\mu\nu}-\epsilon F_{\mu\nu}F^{\mu\nu}+\tau K_{\mu;\nu}K^{\mu;\nu}\right]\left(-g\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$,<br>where $F_{\mu\nu}=K_{\nu;\mu}-K_{\mu;\nu}$||Will, 1993, p. 127 Eq 5.45
Ec. 5-67|Action|Acción para la teoría bimétrica de Rosen|$I=-(16\pi G)^{-1}\int\eta^{\mu\nu}g^{\alpha\beta}g^{\gamma\delta}\left(g_{\alpha\gamma\mid\mu}g_{\beta\delta\mid\nu}-\frac{1}{2}g_{\alpha\beta\mid\mu}g_{\gamma\delta\mid\nu}\right)\times\left(-\eta\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$||Will, 1993, p. 131
Ec. 5-73|Action|Acción para la teoría bimétrica de Rastall|$I=-(16\pi G)^{-1}\int F(N)K^{\mu;\nu}K_{\mu;\nu}\left(-g\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$||Will, 1993, p. 132
Ec. 5-82|Action|Acción para las teorías bimétricas BSLL|$I=-(16\pi)^{-1}\int\left(aB^{\mu\nu\mid\alpha}B_{\mu\nu\mid\alpha}+fB_{,\alpha}B^{,\alpha}\right)\left(-n\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$||Will, 1993, p. 134
Ec. 5-93|Action|Acción para las teorías estratificadas|$I=(8\pi)^{-1}\int\left[e^{-1}K^{\mu\mid\nu}K_{\mu\mid\nu}-\phi_{,\mu}\phi^{,\mu}-\left[f_{3}\left(\phi\right)+1\right]\left(\phi_{,\mu}t^{,\mu}\right)^{2}+\kappa_{1}B^{\mu\nu\mid\alpha}B_{\mu\nu\mid\alpha}+\kappa_{2}B_{\mid\nu}^{\mu\nu}\phi_{,\mu}\right]\left(-n\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$||Will, 1993, p. 136
SM1|Action||$S_{M}=S_{M}(g_{\mu\nu},\psi)$|Término de materia.|
Curvatura = 0|Cond|$Riem(\Gamma)=0$|$Riem(\Gamma)=0$|El tensor de curvatura de Riemann es cero en todo el espacio. En Will se le encuentra como “$K=0$”. La primer condición de homogeneidad de Trautman.|Friedman, 1983, p. 78, 88, 93, 129
D(g) = 0|Cond|$\overline{D}(g)=0$|$\overline{D}(g)=0$|Condición que preserva ángulos y distancias cuando se transporta de forma paralela un vector a lo largo de una curva.|Friedman, 1983, p. 129, 180
e = 0|Cond|$\epsilon=0$|||Will, 1993, p. 117 Table 5.1, p. 129
e = 1|Cond|$\epsilon=1$|||Will, 1993, p. 117 Table 5.1, p. 130
f(R) = R|Cond|$f(R)=R$||La función dependiente del escalar de Ricci es de primer orden.|
f’(R) =1|Cond|$f’(R)=1$||La primera derivada de la función dependiente del escalar de Ricci es igual a uno.|
f’’(R) = 0|Cond|$f’’(R) =0$||La segunda derivada de la función del escalar de Ricci es cero|
lambda = 0|Cond|$\lambda(\phi)=0$|||Will, 1993, p. 125
n = -2w|Cond|$n=-2w$|||Will, 1993, p. 117 Table 5.1, p. 130
n = 0|Cond|$n=0$|||Will, 1993, p. 117 Table 5.1, p. 130
tau = 0|Cond|$\tau=0$||En este caso, no se impone ninguna restricción al campo vectorial.|Will, 1993, p. 117 Table 5.1, p. 127, 128
tau = 1|Cond|$\tau=1$||Esto representa una restricción sobre el calibre del campo vectorial $k_{\mu}$ impuesta por la falta de invariancia de calibre total de la acción $I$.|Will, 1993, p. 117 Table 5.1, p. 127, 128
w = 0|Cond|$w=0$|||
w-inf|Cond|$w\rightarrow\infty$|||
w’ = 0|Cond|$w’=0$|$w(\phi)\equiv constant$|$w(\phi)\equiv constant$|
a, b, c, d|Cosmo|Parámetros de coincidencia cosmológica|$a$, $b$, $c$, $d$||Will, 1993, p. 117 Table 5.1, p. 135
c0, c1|Cosmo|$C_{0}$, $C_{1}$: Parámetro Cosmológico|||Will, 1993, p. 131, 135
