Attribute|Class|Title|Formula|Explanation|Reference
Acción General|Action|Acción general métrica|$S=\int\left[k_{1}F\left(R,\mathcal{L_{M}}\right)+k_{2}\mathcal{L_{M}}\right]\sqrt{-g}d^{4}x$||
Acción General a la Palatini|Action|Acción general a la Palatini|$S=\int\left[k_{1}F\left(\Re,\mathcal{L_{M}}\right)+k_{2}\mathcal{L_{M}}\right]\sqrt{-g}d^{4}x$||
Ec. 13|Action|Acción a la Palatini|$S_{pal}=\frac{1}{2\kappa}\intop d^{4}x\sqrt{-g}f(\Re)+S_{M}(g_{\mu\nu},\psi)$|La métrica y la conexión son independientes. No se varía sobre la conexión. Note que el nuevo tensor de Ricci es construido independientemente de la conexión: $\Re=g_{\mu\nu}R_{\mu\nu}$.|
Ec. 5|Action|Acción total para la métrica $f(R)$.|$S_{met}=\frac{1}{2\kappa}\intop d^{4}x\sqrt{-g}f(R)+S_{M}(g_{\mu\nu},\psi)$||
F(R*,Lm)|Action|||La acción es una función del escalar de Ricci afín y del Lagrangiano de materia.|
F(R*,T)|Action|||La acción es una función del escalar de Ricci afín y la traza del tensor de estrés-energía-momento.|
F(R,Lm)|Action|$F(R,L_{m})$||La acción es una función del escalar de Ricci y el Lagrangiano de materia.|
F(R,T)|Action|$F(R,T)$||La acción es una función del escalar de Ricci y la traza del tensor de energía-momentum|
SM1|Action||$S_{M}=S_{M}(g_{\mu\nu},\psi)$|Término de materia.|
SM2|Action||$S_{M}=S_{M}(g_{\mu\nu},\Gamma_{\mu\nu}^{\lambda},\psi)$|Término afín de materia.|
Cte < 0|Cond|$cte<0$||El escalar de Ricci es constante y negativo en todos los puntos.|
Cte > 0|Cond|$cte>0$||El escalar de Ricci es constante y positivo en todos los puntos.|
Curvatura = 0|Cond|$Riem(\Gamma)=0$|$Riem(\Gamma)=0$|El tensor de curvatura de Riemann es cero en todo el espacio. En Will se le encuentra como “$K=0$”. La primer condición de homogeneidad de Trautman.|Friedman, 1983, p. 78, 88, 93, 129
D(g) = 0|Cond|$\overline{D}(g)=0$|$\overline{D}(g)=0$|Condición que preserva ángulos y distancias cuando se transporta de forma paralela un vector a lo largo de una curva.|Friedman, 1983, p. 129, 180
f(R) = R|Cond|$f(R)=R$||La función dependiente del escalar de Ricci es de primer orden.|
f(R) ≠ R|Cond|$f(R)≠R$||La función dependiente del escalar de Ricci es de orden superior.|
f(R*) = R*|Cond|$f(R^{*})=R^{*}$||La función del escalar de Ricci afín es de primer orden.|
f(R*) ≠ R*|Cond|$f(R^{*})\neq R^{*}$||La función del escalar de Ricci afín es de orden superior.|
f’(R) =1|Cond|$f’(R)=1$||La primera derivada de la función dependiente del escalar de Ricci es igual a uno.|
f’(R*) = 1|Cond|$f’(R^{*})=1$||La primera derivada del escalar de curvatura afín es igual a uno.|
f’’(R) = 0|Cond|$f’’(R) =0$||La segunda derivada de la función del escalar de Ricci es cero|
f’’(R) ≠ 0|Cond|$f’’(R)\neq 0$||La segunda derivada de la función del escalar de Ricci es distinto de cero.|
f’’(R*) = 0|Cond|$f’’(R^{*})=0$||La segunda derivada de la función del escalar de Ricci afín es cero.|
f’’(R*) ≠ 0|Cond|$f’’(R^{*})\neq0$||La segunda derivada de la función del escalar de Ricci afín es distinta de cero.|
Local|Cond|Localidad||La materia es una función puntual.|
No Local|Cond|No-localidad||La materia es una función de la densidad.|
No-Metricidad = 0|Cond|No-metricidad = 0|$Q_{\mu\nu\lambda}=0$,|Segunda condición de homogeneidad de Trautman.|
R = 0|Cond|$R=0$||El escalar de Ricci es cero.|
R = Cte|Cond|$R=Cte$||El escalar de Ricci es constante.|
T = 0|Cond|$T_{\mu\nu}\rightarrow0$: Polvo||El tensor de Estrés-Energía-Momentum es casi cero (modelos de polvo).|
