Attribute|Class|Title|Formula|Explanation|Reference
Configuration Space|Chronogeometrical|$Q$: Configuration space||A mathematical space that represents all possible configurations or positions of a system's degrees of freedom. Each point in configuration space corresponds to a unique arrangement of these degrees of freedom, defining a specific state of the system.|Bunge, 1987, p. 119
Cotime|Chronogeometrical|Cotime||For every $i$, $i'\in I$, the associated cotimes are such that $\frac{\partial X_{0}}{\partial X'_{0}}$ exists and is positive.|Bunge, 1967, SR 8
E3|Chronogeometrical|E3: Euclidean 3D-space||$E^{3}$ is 3-dimensional  Euclidean space.<br>$E^{3}$ represents (maps) ordinary space.|Bunge, 1967, PM 1.2
E3R|Chronogeometrical|E3R: A manifold mapping local space||$E^{3}$ is a tridimensional Euclidean space with inner product.<br>$E^{3}$ represents ordinary space relative to (a”as seen from” any given $i\subset I$).|Bunge, 1967, SR 4
Euclidean Space|Chronogeometrical|Euclidean space||$E^{3}$ is 3-dimensional  Euclidean space.<br>$E^{3}$ represents (maps) ordinary space.|Bunge, 1967, PM 1.2, p. 123
Locality|Chronogeometrical|Locality||For any point $x\in M^{4}$ there exists a neighborhood of $x$ over which a local coordinate system can be given such that $x^{0}$ is a (local) time coordinate and $x^{1}$, $x^{2}$ and $x^{3}$ are (local) spatial coordinates.<br>[Roughly: the tangent space of $M^{4}$ at any $x\in M^{4}$ is spacetime].|Bunge, 1967, GR 2.3
M3|Chronogeometrical|$M^{3}$||$M^{3}$ is a 3-dimensional  differentiable manifold.<br>$M^{3}$ represents physical space.|Bunge, 1967, CEM 1.4
M4|Chronogeometrical|$M^{4}$||$M^{4}$ is 4-dimensional differentiable manifold of class $C^{2}$.<br>For every point $x\subset M^{4}$, there exists a neighborhood of $x$ over which a local coordinate system can be given (defined).<br>the function s fmu that map neighboring coordinate sets onto one another are continuous and have continuous derivatives up to 2nd order in $M^{4}$.<br>$M^{4}$ represents physical space.|Bunge, 1967, GR 2.1
Phase Space|Chronogeometrical|Phase space||A set of coordinates, where each coordinate corresponds to a degree of freedom of the system, and each point in phase space represents a unique state of the system at a particular instant in time. |Bunge, 1967, p. 123
Time|Chronogeometrical|Time||$T$ is an interval of real line.<br>Every $t$ represents an instant of time.<br>the relation $\leq$ that orders $T$ means “earlier than or simultaneous with.”|Bunge, 1967, PM 1.1
Time Range|Chronogeometrical|tR:  The range of the local time function||$T$ is an interval of the real line.<br>$T$ is the range of the time function satisfying the axioms of the local time theory.<br>Every $t\subset T$ represents an instant of t-time.|Bunge, 1967, SR 5
c|ElemDis|Magnitude of the speed of e.m. signals in vacuum||$c$ is a positive real number such that $\left[d\right]=LT^{-1}$.<br>Every $s\in S$ propagates in vacuum, relative to any $i\in I$, with uniform rectilinear motion at the speed $c$.|Bunge, 1967, SR 7, CEM 1.9
kappa|ElemDis|$\kappa$ Einstein’s constant||$\kappa$ is a positive real number with dimension $L^{-1}M^{-1}T^{2}$.<br>$\kappa$ represents the coupling of $\sigma$ with $\bar{\sigma}$.|Bunge, 1967, GR 6.1
Affine Connection|Family|Affine conexion: gravitational potentials||For every $\sigma\in \Sigma$ there exists a metric tensor $g$ whose associated metric affinity $\Gamma$ represents the strength of $\sigma$.|Bunge, 1967, GR 3.4
Applied Force|Family|Applied force||Every $F^{e}\in\left\{ F^{e}\right\}$ is a real valued vector on $\Sigma\times K\times E^{3}\times T$.<br>The value of $F^{e}$ at any given 6-ple $\left\langle \sigma,k,x,t\right\rangle $ represents the external force acting on $\sigma$, relative to the frame $k$, at the place $x$ and the instant $t$.|Bunge, 1967, p. 134 PM 3.3
Body Force Density|Family|Body force density||Every $f_{b}\in\left\{ f_{b}\right\} $ is a real and bounded vector field over $\beta\times K\times E^{3}\times T$.<br>If $b\hat{=}\sigma$, then $f_{b}(b,k,x,t)$ represents the force per unit volume on the body $\sigma$.|Bunge, 1967, CM 3.1
Body Stress|Family|Body stress||Every $\mathrm{T\in\left\{ \mathrm{T}\right\} }$ is a real and bounded tensor field of valence (2,0) over $\beta\times K\times E^{3}\times T$.<br>If $b\hat{=}\sigma$, and $beta\hat{=}\pi$, then $\mathrm{T(\beta,K,x,t)}$ represents the body stress at the particle $\pi\dot{\in}\sigma$.|Bunge, 1967, CM 3.2
Charge Density|Family|Charge density||$\left\{ \rho\right\} $ is a nonempty family of functions.<br>Every $\rho$ is a scalar valued function from $\beta\times M^{3}\times T$ to $\mathbb{R}$.<br>If $b\hat{=}\sigma$, then $\rho(b,x,t)$ represents the charge density of $\rho$ at $x$,$t$.|Bunge, 1967, CEM 1.5
Charged M Bodies|Family|Charged bodies||$\left\{ \beta\right\} $ is a nonempty family of point sets.<br>Every $b\in\beta$ is a 3-dimensional differentiable manifold.<br>For every $\sigma\in\Sigma$ there exists a $b\in\beta$ such that $b\hat{=}\sigma$ pointwise.|Bunge, 1967, CEM 1.3
Electric Fields|Family|Electric field intensity||$\left\{ E\right\} $ is a nonempty family of fields.<br>Every $E\in\left\{ E\right\} $ is a real and vector valued function of $\Phi\times M^{3}\times T$.<br>$E(\phi,x,t)$ represents the intensity of the electric component of $\phi$ at $x$,$t$.|Bunge, 1967, CEM 1.6
EM Fields|Family|Electromagnetic fields||$\Phi$ is a nonempty set.<br>Every $\Phi$ is an e.m. field.|Bunge, 1967, CEM 1.1
Energy-momentum Tensor|Family|Energy-momentum-stress tensor||$\mathrm{T}$ is a contravariant symmetric tensor field on $V\subset M^{4}$.<br>$\mathrm{T}$ represents the energy, momentum and stress of all the systems $\bar{\sigma}\in\bar{\Sigma}$ in $V$.|Bunge, 1967, GR 5.1
External Force|Family|External force||Every $F^{e}\in\left\{ F^{e}\right\}$ is a real valued vector on $\Sigma\times K\times E^{3}\times T$.<br>The value of $F^{e}$ at any given 6-ple $\left\langle \sigma,k,x,t\right\rangle $ represents the external force acting on $\sigma$, relative to the frame $k$, at the place $x$ and the instant $t$.|Bunge, 1967, PM 3.3
Force between Particles|Family|Force between particles||Every $F^{i}\in\left\{ F^{i}\right\} $ is a real valued vector on $\Sigma\times\Sigma\times K\times E^{3}\times T$.<br>The value of $F^{i}$ at any given 7-ple $\left\langle \sigma,\sigma',k,x,t\right\rangle $ represents the force extended by $\sigma'$ on $sigma$ relative to $k$ at $x$ and $t$.|Bunge, 1967, PM 3.4
Hamiltonian|Family|Hamiltonian||A mathematical operator or function that encodes the total energy of a physical system. It is typically defined in terms of the system's generalized coordinates and their conjugate momenta. The It represents the sum of the system's kinetic and potential energies.|Bunge, 1967, p. 113, 123
Interparticle Force|Family|Inter-particle force||Every $F^{i}\in\left\{ F^{i}\right\} $ is a real valued vector on $\Sigma\times\Sigma\times K\times E^{3}\times T$.<br>The value of $F^{i}$ at any given 7-ple $\left\langle \sigma,\sigma',k,x,t\right\rangle $ represents the force extended by $\sigma'$ on $sigma$ relative to $k$ at $x$ and $t$.|Bunge, 1967, PM 3.4
Lagrangian|Family|Lagrangian||A mathematical function that summarizes the dynamics of a physical system. It is typically defined as the difference between the system's kinetic energy and potential energy, expressed in terms of the system's generalized coordinates and their time derivatives.|Bunge, 1967, p. 118, 123
M Bodies|Family|Bodies||$\left\{ \beta\right\} $ is a nonempty family of point sets.<br>Every $b\in B$ is a 3-dimensional differentiable manifold.<br>For every $\sigma\in\Sigma$ there exists a $b\in\beta$ such that $b\hat{=}\sigma$ pointwise.|Bunge, 1967, CM 1.2
Magnetic Fields|Family|Magnetic field intensity||Every $\left\{ B\right\} $ is a non empty family of fields. Every $B\in\left\{ B\right\} $ real pseudovector valued function on  $\Phi\times M^{3}\times T$.<br>$B(\phi,x,t)$ represents the intensity of the magnetic component of $\phi$ at $x$,$t$.|Bunge, 1967, CEM 1.7
Mass|Family|Mass||$M$ Is a function from $\Sigma$ to the set $\mathbb{R^{+}}$ of non-negative reals.<br>The value of $M$ in $\sigma,\in\Sigma$ represents the mass (inertia) of $\sigma$.|Bunge, 1967, PM 3.1
Mass Density|Family|Body density||Every $\varrho\in\left\{ \varrho\right\} $ is a bounded and continuous function from $\beta$ to the set of nonnegative reals.<br>If $b\hat{=}\sigma$, then $\varrho(b,x,t)$ represents the mass density of $\varrho$ at $x$,$t$.|Bunge, 1967, CM 1.5
PM 2.4|Family|Events and trayectory of motion||For every $\sigma\in\Sigma$, and every $k\in K$, every $X\in\left\{ X\right\} $ is a continuous and real valued function from $T$ to $E^{3}$.<br>For every $\sigma\in\Sigma$ and every  $k\in K$, $\dot{X}$ is a piece-wise continuous and real valued function from $T$ to $E^{3}$.<br>$X(\sigma,k,t)$ represents the position of $\sigma$, relative to the frame $k$ at the instant $t$.<br>Every quintuple $\left\langle \sigma,X_{1},X_{2},X_{3},t\right\rangle $ represents an event.<br>For any given $\sigma\in\Sigma $ and any given $k\in K$, the set $\left\{ X(\sigma,k,t)\mid t\in T\right\} $represents a trajectory (motion) of $\sigma$.|Bunge, 1967, PM 2.4
Poissonian|Family|Poissonian||$P$ is a tensor field in phase space that talks about the physical system.|Bunge, 1967, p. 123
Velocity and Acceleration|Family|Velocity and acceleration||The derivatives $\dot{X}$ and $\ddot{X}$ exist and are bounded for every $X\in\left\{ X\right\} $, every $\beta\in b$, every $k\in K$ and every $t\in T$.<br>If $\beta\hat{=}\pi$ and $\pi\dot{\in}\sigma$, then $\dot{X}(\beta,k,t)$ and $\ddot{X}(\beta,k,t)$ represent the velocity and the acceleration respectively of the particle $\pi$ in the body $\sigma$ relative to the frame at time $t$.|Bunge, 1967, CM 2.3
{XGR}|Family|{XGR}: Position of a point system||For every $i=1,2,3$, $\left\{ X_{i}\right\} $ is a nonempty family of functions.<br>Every $X_{i}\in\left\{ X_{i}\right\} $ is a function from $\overline{\Sigma}\times K\times T$ to $\mathbb{R}$, continuous w.r.t. $t$.<br>$X(\bar{\sigma},k,t)$ represents the position of a point system $\bar{\sigma}\in\bar{\Sigma}$, referred to $k$, at the instant $t$ relative to $k$.|Bunge, 1967, GR 4.2
{XR}|Family|Position of a system||$\left\{ X\right\} $ is a nonempty family of functions.<br>Every $X\in\left\{ X\right\} $ is a function from $\Sigma\times I\times T$ to $R^{3}$.<br>$X\left(\sigma,i,t\right)$ represents the position of a point system $\sigma\subset\Sigma$, referred to the frame $\tau$, at the instant $t$ relative to $\tau$.<br>For every point event there exists a septuple $\left\langle \sigma,s,\tau,X_{0},X_{1},X_{2},X_{3}\right\rangle \hat{=}$ event.|Bunge, 1967, SR 6
{X}|Family|Position of a particle||$X$ is continuous and bounded for every $\beta$, $k$, and $t$.<br>$X(\beta,k,t)$ represents the place (location) of the particle $\pi$ of the body $\sigma$, relative to the frame $k$ at the instant $t$.|Bunge, 1967, CM 1.3
Algebra|FB|Algebra||The study of mathematical symbols and variables, and the rules for manipulating them in formulas.|
