Attribute|Class|Title|Formula|Explanation|Reference
Cotime|Chronogeometrical|Cotime||For every $i$, $i'\in I$, the associated cotimes are such that $\frac{\partial X_{0}}{\partial X'_{0}}$ exists and is positive.|Bunge, 1967, SR 8
E3|Chronogeometrical|E3: Euclidean 3D-space||$E^{3}$ is 3-dimensional  Euclidean space.<br>$E^{3}$ represents (maps) ordinary space.|Bunge, 1967, PM 1.2
E3R|Chronogeometrical|E3R: A manifold mapping local space||$E^{3}$ is a tridimensional Euclidean space with inner product.<br>$E^{3}$ represents ordinary space relative to (a”as seen from” any given $i\subset I$).|Bunge, 1967, SR 4
Locality|Chronogeometrical|Locality||For any point $x\in M^{4}$ there exists a neighborhood of $x$ over which a local coordinate system can be given such that $x^{0}$ is a (local) time coordinate and $x^{1}$, $x^{2}$ and $x^{3}$ are (local) spatial coordinates.<br>[Roughly: the tangent space of $M^{4}$ at any $x\in M^{4}$ is spacetime].|Bunge, 1967, GR 2.3
M3|Chronogeometrical|$M^{3}$||$M^{3}$ is a 3-dimensional  differentiable manifold.<br>$M^{3}$ represents physical space.|Bunge, 1967, CEM 1.4
M4|Chronogeometrical|$M^{4}$||$M^{4}$ is 4-dimensional differentiable manifold of class $C^{2}$.<br>For every point $x\subset M^{4}$, there exists a neighborhood of $x$ over which a local coordinate system can be given (defined).<br>the function s fmu that map neighboring coordinate sets onto one another are continuous and have continuous derivatives up to 2nd order in $M^{4}$.<br>$M^{4}$ represents physical space.|Bunge, 1967, GR 2.1
Time|Chronogeometrical|Time||$T$ is an interval of real line.<br>Every $t$ represents an instant of time.<br>the relation $\leq$ that orders $T$ means “earlier than or simultaneous with.”|Bunge, 1967, PM 1.1
Time Range|Chronogeometrical|tR:  The range of the local time function||$T$ is an interval of the real line.<br>$T$ is the range of the time function satisfying the axioms of the local time theory.<br>Every $t\subset T$ represents an instant of t-time.|Bunge, 1967, SR 5
c|ElemDis|Magnitude of the speed of e.m. signals in vacuum||$c$ is a positive real number such that $\left[d\right]=LT^{-1}$.<br>Every $s\in S$ propagates in vacuum, relative to any $i\in I$, with uniform rectilinear motion at the speed $c$.|Bunge, 1967, SR 7, CEM 1.9
kappa|ElemDis|$\kappa$ Einstein’s constant||$\kappa$ is a positive real number with dimension $L^{-1}M^{-1}T^{2}$.<br>$\kappa$ represents the coupling of $\sigma$ with $\bar{\sigma}$.|Bunge, 1967, GR 6.1
Affine Connection|Family|Affine conexion: gravitational potentials||For every $\sigma\in \Sigma$ there exists a metric tensor $g$ whose associated metric affinity $\Gamma$ represents the strength of $\sigma$.|Bunge, 1967, GR 3.4
Body Force Density|Family|Body force density||Every $f_{b}\in\left\{ f_{b}\right\} $ is a real and bounded vector field over $\beta\times K\times E^{3}\times T$.<br>If $b\hat{=}\sigma$, then $f_{b}(b,k,x,t)$ represents the force per unit volume on the body $\sigma$.|Bunge, 1967, CM 3.1
Body Stress|Family|Body stress||Every $\mathrm{T\in\left\{ \mathrm{T}\right\} }$ is a real and bounded tensor field of valence (2,0) over $\beta\times K\times E^{3}\times T$.<br>If $b\hat{=}\sigma$, and $beta\hat{=}\pi$, then $\mathrm{T(\beta,K,x,t)}$ represents the body stress at the particle $\pi\dot{\in}\sigma$.|Bunge, 1967, CM 3.2
Charge Density|Family|Charge density||$\left\{ \rho\right\} $ is a nonempty family of functions.<br>Every $\rho$ is a scalar valued function from $\beta\times M^{3}\times T$ to $\mathbb{R}$.<br>If $b\hat{=}\sigma$, then $\rho(b,x,t)$ represents the charge density of $\rho$ at $x$,$t$.|Bunge, 1967, CEM 1.5
Charged M Bodies|Family|Charged bodies||$\left\{ \beta\right\} $ is a nonempty family of point sets.<br>Every $b\in\beta$ is a 3-dimensional differentiable manifold.<br>For every $\sigma\in\Sigma$ there exists a $b\in\beta$ such that $b\hat{=}\sigma$ pointwise.|Bunge, 1967, CEM 1.3
Electric Fields|Family|Electric field intensity||$\left\{ E\right\} $ is a nonempty family of fields.<br>Every $E\in\left\{ E\right\} $ is a real and vector valued function of $\Phi\times M^{3}\times T$.<br>$E(\phi,x,t)$ represents the intensity of the electric component of $\phi$ at $x$,$t$.|Bunge, 1967, CEM 1.6
