Attribute|Class|Title|Formula|Explanation|Reference
Eq 13|Action|Palatini action|$S_{pal}=\frac{1}{2\kappa}\intop d^{4}x\sqrt{-g}f(\Re)+S_{M}(g_{\mu\nu},\psi)$|The metric and connection are independent. Variation not on the connection. Note the new Ricci tensor is constructed with an independent connection:  $\Re=g_{\mu\nu}R_{\mu\nu}$.|
Eq 5|Action|Total action|$S_{met}=\frac{1}{2\kappa}\intop d^{4}x\sqrt{-g}f(R)+S_{M}(g_{\mu\nu},\psi)$|Total action for a metric $f(R)$.|
Eq 5-30|Action|Action for scalar-tensor theories|$\ensuremath{I=(16\pi)^{-1}\int\left[\phi R-\phi^{-1}w(\phi)g^{\mu\nu}\phi_{,\mu}\phi_{,\nu}+2\phi\lambda(\phi)\right]\times\left(-g\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})}$||Will, 1993, p. 123
Eq 5-45|Action|Action for vector-tensor theories|$I=(16\pi G)^{-1}\int\left[R+wK_{\mu}K^{\mu}R+nK^{\mu}K^{\nu}R_{\mu\nu}-\epsilon F_{\mu\nu}F^{\mu\nu}+\tau K_{\mu;\nu}K^{\mu;\nu}\right]\left(-g\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$,<br>where $F_{\mu\nu}=K_{\nu;\mu}-K_{\mu;\nu}$||Will, 1993, p. 127 Eq 5.45
Eq 5-67|Action|Action Rosen Bimetric theory|$I=-(16\pi G)^{-1}\int\eta^{\mu\nu}g^{\alpha\beta}g^{\gamma\delta}\left(g_{\alpha\gamma\mid\mu}g_{\beta\delta\mid\nu}-\frac{1}{2}g_{\alpha\beta\mid\mu}g_{\gamma\delta\mid\nu}\right)\times\left(-\eta\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$||Will, 1993, p. 131
Eq 5-73|Action|Action Rastall Bimetric theory|$I=-(16\pi G)^{-1}\int F(N)K^{\mu;\nu}K_{\mu;\nu}\left(-g\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$||Will, 1993, p. 132
Eq 5-82|Action|Action BSLL Bimetric theories|$I=-(16\pi)^{-1}\int\left(aB^{\mu\nu\mid\alpha}B_{\mu\nu\mid\alpha}+fB_{,\alpha}B^{,\alpha}\right)\left(-n\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$||Will, 1993, p. 134
Eq 5-93|Action|Action for stratified theories|$I=(8\pi)^{-1}\int\left[e^{-1}K^{\mu\mid\nu}K_{\mu\mid\nu}-\phi_{,\mu}\phi^{,\mu}-\left[f_{3}\left(\phi\right)+1\right]\left(\phi_{,\mu}t^{,\mu}\right)^{2}+\kappa_{1}B^{\mu\nu\mid\alpha}B_{\mu\nu\mid\alpha}+\kappa_{2}B_{\mid\nu}^{\mu\nu}\phi_{,\mu}\right]\left(-n\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$||Will, 1993, p. 136
F(R*,Lm)|Action|F(R*,Lm)||The action is a function of the affine Ricci scalar and the matter Lagrangian.|
F(R*,T)|Action|F(R*,T)||The action is a function of the affine Ricci scalar and the trace of the energy momentum tensor.|
F(R,Lm)|Action|F(R,Lm)||The action is a function of the Ricci scalar and the matter Lagrangian.|
F(R,T)|Action|F(R,T)||The action is a function of the Ricci scalar and the trace of the energy momentum tensor.|
General Action|Action|Metric General Action|$S=\int\left[k_{1}F\left(R,\mathcal{L_{M}}\right)+k_{2}\mathcal{L_{M}}\right]\sqrt{-g}d^{4}x$||
General Action Palatini|Action|Palatini General Action|$S=\int\left[k_{1}F\left(\Re,\mathcal{L_{M}}\right)+k_{2}\mathcal{L_{M}}\right]\sqrt{-g}d^{4}x$||
SM1|Action|Matter term|$S_{M}=S_{M}(g_{\mu\nu},\psi)$||
SM2|Action|Affine matter term|$S_{M}=S_{M}(g_{\mu\nu},\Gamma_{\mu\nu}^{\lambda},\psi)$||
