Attribute|Class|Title|Formula|Explanation|Reference
Eq 13|Action|Palatini action|$S_{pal}=frac{1}{2kappa}intop d^{4}xsqrt{-g}f(Re)+S_{M}(g_{munu},psi)$|The metric and connection are independent. Variation not on the connection. Note the new Ricci tensor is constructed with an independent connection:  $Re=g_{munu}R_{munu}$.|
Eq 5|Action|Total action|$S_{met}=frac{1}{2kappa}intop d^{4}xsqrt{-g}f(R)+S_{M}(g_{munu},psi)$|Total action for a metric $f(R)$.|
Eq 5-30|Action|Action for scalar-tensor theories|$ensuremath{I=(16pi)^{-1}intleft[phi R-phi^{-1}w(phi)g^{munu}phi_{,mu}phi_{,nu}+2philambda(phi)right]timesleft(-gright)^{frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{munu})}$||Will, 1993, p. 123
Eq 5-45|Action|Action for vector-tensor theories|$I=(16pi G)^{-1}intleft[R+wK_{mu}K^{mu}R+nK^{mu}K^{nu}R_{munu}-epsilon F_{munu}F^{munu}+tau K_{mu;nu}K^{mu;nu}right]left(-gright)^{frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{munu})$,<br>where $F_{munu}=K_{nu;mu}-K_{mu;nu}$||Will, 1993, p. 127 Eq 5.45
Eq 5-67|Action|Action Rosen Bimetric theory|$I=-(16pi G)^{-1}inteta^{munu}g^{alphabeta}g^{gammadelta}left(g_{alphagammamidmu}g_{betadeltamidnu}-frac{1}{2}g_{alphabetamidmu}g_{gammadeltamidnu}right)timesleft(-etaright)^{frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{munu})$||Will, 1993, p. 131
Eq 5-73|Action|Action Rastall Bimetric theory|$I=-(16pi G)^{-1}int F(N)K^{mu;nu}K_{mu;nu}left(-gright)^{frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{munu})$||Will, 1993, p. 132
Eq 5-82|Action|Action BSLL Bimetric theories|$I=-(16pi)^{-1}intleft(aB^{munumidalpha}B_{munumidalpha}+fB_{,alpha}B^{,alpha}right)left(-nright)^{frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{munu})$||Will, 1993, p. 134
Eq 5-93|Action|Action for stratified theories|$I=(8pi)^{-1}intleft[e^{-1}K^{mumidnu}K_{mumidnu}-phi_{,mu}phi^{,mu}-left[f_{3}left(phiright)+1right]left(phi_{,mu}t^{,mu}right)^{2}+kappa_{1}B^{munumidalpha}B_{munumidalpha}+kappa_{2}B_{midnu}^{munu}phi_{,mu}right]left(-nright)^{frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{munu})$||Will, 1993, p. 136
F(R*,Lm)|Action|F(R*,Lm)||The action is a function of the affine Ricci scalar and the matter Lagrangian.|
F(R*,T)|Action|F(R*,T)||The action is a function of the affine Ricci scalar and the trace of the energy momentum tensor.|
F(R,Lm)|Action|F(R,Lm)||The action is a function of the Ricci scalar and the matter Lagrangian.|
F(R,T)|Action|F(R,T)||The action is a function of the Ricci scalar and the trace of the energy momentum tensor.|
General Action|Action|Metric General Action|$S=intleft[k_{1}Fleft(R,mathcal{L_{M}}right)+k_{2}mathcal{L_{M}}right]sqrt{-g}d^{4}x$||
General Action Palatini|Action|Palatini General Action|$S=intleft[k_{1}Fleft(Re,mathcal{L_{M}}right)+k_{2}mathcal{L_{M}}right]sqrt{-g}d^{4}x$||
SM1|Action|Matter term|$S_{M}=S_{M}(g_{munu},psi)$||
SM2|Action|Affine matter term|$S_{M}=S_{M}(g_{munu},Gamma_{munu}^{lambda},psi)$||
(dt ⊗ K) = 0|Cond|Temporal geometry constraint|$(dtotimes K)_{1a2}=0$|This field equation imposes a constraint on the temporal geometry, specifying that it remains unaffected by the Riemann curvature tensor $K$.|Will, 1983, p. 101
Const < 0|Cond|$R=Const<0$||Ricci scalar is constant and negative at all points.|
Const > 0|Cond|$R=Const>0$||Ricci scalar is constant and positive at all points.|
Curvature = 0|Cond||$Riem(Gamma)=0$|Riemann’s curvature tensor of the affine connection is zero. Found as $K=0$ in Friedman. It is one of Trautman’s homogenous condition.|Friedman, 1983, p. 78, 88, 93, 129
