Attribute|Class|Title|Formula|Explanation|Reference
Espacio de Configuración|Chronogeometrical|$Q$: Espacio de configuración||Un espacio matemático que representa todas las configuraciones o posiciones posibles de los grados de libertad de un sistema. Cada punto en el espacio de configuración corresponde a una disposición única de estos grados de libertad, que definen un estado específico del sistema.|Bunge, 1987, p. 119
Espacio Euclidiano|Chronogeometrical|Espacio euclidiano||$E^{3}$ es un espacio euclideano 3-dimensional.<br>$E^{3}$ representa (mapea) el espacio ordinario.|Bunge, 1967, PM 1.2, p. 123
Espacio Fase|Chronogeometrical|Espacio fase||Un conjunto de coordenadas, donde cada coordenada corresponde a un grado de libertad del sistema, y cada punto en el espacio de fase representa un estado único del sistema en un instante particular en el tiempo.|Bunge, 1967, p. 123
Tiempo|Chronogeometrical|Tiempo||$T$ es un intervalo de línea real.<br>Cada $t$ representa un instante de tiempo.<br>La relación $\leq$ que ordena $T$ significa “más temprano que, o simultáneo a”.|Bunge, 1967, PM 1.1
Fuerza Aplicada|Family|Fuerza Aplicada||Cada $F^{e}\in\left\{ F^{e}\right\}$es un vector real evaluado en $\Sigma\times K\times E^{3}\times T$.<br>El valor de $F^{e}$ en una sextupla dada $\left\langle \sigma,k,x,t\right\rangle $ representa la fuerza externa actuando sobre $\sigma$, relativa al marco $k$, en el lugar $x$ y en el instante $t$.|Bunge, 1967, p. 134 PM 3.3
Fuerza Inter-partículas|Family|Fuerza inter-partículas||Cada $F^{i}\in\left\{ F^{i}\right\} $ es un vector real evaluado en $\Sigma\times\Sigma\times K\times E^{3}\times T$.<br>El valor de $F^{i}$ en una séptupla dada $\left\langle \sigma,\sigma',k,x,t\right\rangle $ representa la fuerza ejercida por $\sigma'$ on $sigma$ relativa a $k$ en $x$ y $t$.|Bunge, 1967, PM 3.4
Hamiltoniano|Family|Hamiltoniano||Operador o función matemática que codifica la energía total de un sistema físico. Normalmente se define en términos de las coordenadas generalizadas del sistema y sus momentos conjugados. El representa la suma de las energías cinética y potencial del sistema.|Bunge, 1967, p. 113, 123
Lagrangiano|Family|Lagrangiano||Un Lagrangiano es una función matemática que resume la dinámica de un sistema físico. Normalmente se define como la diferencia entre la energía cinética y la energía potencial del sistema, expresada en términos de las coordenadas generalizadas del sistema y sus derivadas temporales.|Bunge, 1967, p. 118, 123
Masa|Family|Familia de funciones representando la masa||$M$ Es una función de $\Sigma$ al conjunto $\mathbb{R^{+}}$ de reales no negativos.<br>El valor de $M$ en $\sigma,\in\Sigma$ representa la masa (inertia) de $\sigma$.|Bunge, 1967, PM 3.1
Poissoniana|Family|Poisson||$P$ campo tensorial en el espacio fase. $P$ habla del sistema físico.|Bunge, 1967, p. 123
Coordenadas Físicas|Frames|Coordenadas Físicas||Identifican cosas físicas y son relativas a algún marco físico. No deben confundirse con el sistema de coordenadas geométricas.|Bunge, 1967, p. 104, 130, 219, 222
