Attribute|Class|Title|Formula|Explanation|Reference
Cotiempo|Chronogeometrical|Cotiempo||Por cada $t$, $t'in I$, los cotiempos asociados son tales que $frac{partial X_{0}}{partial X'_{0}}$ existe y es positiva.|Bunge, 1967, SR 8
E3|Chronogeometrical|E3: Espacio físico euclideano||$E^{3}$ es un espacio euclideano 3-dimensional.<br>$E^{3}$ representa (mapea) el espacio ordinario.|Bunge, 1967, PM 1.2
E3R|Chronogeometrical|E3R: Una variedad que mapea el espacio local||$E^{3}$ es un espacio euclideano tridimensional con producto interno.<br>$E^{3}$ representa al espacio ordinario relativo a (como visto desde) cualquier $isubset I$ dado.|Bunge, 1967, SR 4
Espacio de Configuración|Chronogeometrical|$Q$: Espacio de configuración||Un espacio matemático que representa todas las configuraciones o posiciones posibles de los grados de libertad de un sistema. Cada punto en el espacio de configuración corresponde a una disposición única de estos grados de libertad, que definen un estado específico del sistema.|Bunge, 1987, p. 119
Espacio Euclidiano|Chronogeometrical|Espacio euclidiano||$E^{3}$ es un espacio euclideano 3-dimensional.<br>$E^{3}$ representa (mapea) el espacio ordinario.|Bunge, 1967, PM 1.2, p. 123
Espacio Fase|Chronogeometrical|Espacio fase||Un conjunto de coordenadas, donde cada coordenada corresponde a un grado de libertad del sistema, y cada punto en el espacio de fase representa un estado único del sistema en un instante particular en el tiempo.|Bunge, 1967, p. 123
Localidad|Chronogeometrical|Localidad||Para cualquier punto $xin M^{4}$ existe una vecindad de $x$ sobre la cual se puede dar un sistema de coordenadas local tal que $x^{0}$ es una coordenada de tiempo (local) y $x^ {1}$, $x^{2}$ y $x^{3}$ son coordenadas espaciales (locales).<br>Aproximadamente: el espacio tangente de $M^{4}$ en cualquier $xin M^{4}$ es el espacio-tiempo.|Bunge, 1967, GR 2.3
M3|Chronogeometrical|M3: Variedad que representa el espacio físico||$M^{3}$ es una variedad diferenciable 3-dimensional.<br>$M^{3}$ representa el espacio físico.|Bunge, 1967, CEM 1.4
M4|Chronogeometrical|M4: Variedad de 4D||$M^{4}$ es una variedad diferenciable 4-dimensional de clase $C^{2}$.<br>Para cada punto $xsubset M^{4}$, existe una vecindad de $x$ sobre la cual un sistema de coordenadas local puede ser dado (definido).<br>las funciones $f^{mu}$ que mapean conjuntos de coordenadas vecinas entre sí son continuas y tienen derivadas continuas hasta de segundo orden en $M^{4}$.<br>$M^{4}$ representa el espacio físico.|Bunge, 1967, GR 2.1
Rango de Tiempo|Chronogeometrical|tR: El rango de la función de hora local||$T$ es un intervalo de línea real<br>$T$ es el rango de la función de tiempo que satisface los axiomas de la teoría del tiempo local.<br>Cada subconjunto $tsubset T$ representa un instante de tiempo t.|Bunge, 1967, SR 5
Tiempo|Chronogeometrical|Tiempo||$T$ es un intervalo de línea real.<br>Cada $t$ representa un instante de tiempo.<br>La relación $leq$ que ordena $T$ significa “más temprano que, o simultáneo a”.|Bunge, 1967, PM 1.1
c|ElemDis|Magnitud de la velocidad de las señales electromagnéticas en el vacío.||$c$ es un número real positivo tal que $left[dright]=LT^{-1}$.<br>Cada $sin S$ se propaga en el vacío, relativo a cualquier $iin I$, con movimiento rectilíneo uniforme a la velocidad $c$.|Bunge, 1967, SR 7, CEM 1.9
kappa|ElemDis|$kappa$: la constante de Einstein||$kappa$ es un número real positivo con dimensión $L^{-1}M^{-1}T^{2}$.<br>$kappa$ representa el acoplamiento de $sigma$ con $bar{sigma}$.|Bunge, 1967, GR 6.1
Campos Electromagnéticos|Family|Campos electromagnéticos||$Phi$ es un conjunto no vacío.<br>Cada $Phi$ es un campo electromagnético.|Bunge, 1967, CEM 1.1
Conexión Afín|Family|Conexión afín: el Potencial gravitacional||Por cada $sigmain Sigma$ existe un tensor métrico $g$ cuya afinidad métrica asociada $Gamma$ representa la fuerza de $sigma$.|Bunge, 1967, GR 3.4
Densidad de Carga|Family|Densidad de carga||$left{ rhoright} $ es una familia de funciones no vacía.<br>Cada $rho$ es una función escalar de $betatimes M^{3}times T$ a $mathbb{R}$<br>Si $bhat{=}sigma$, entonces $rho(b,x,t)$ representa la densidad de carga de $sigma$ en $x$,$t$.|Bunge, 1967, CEM 1.5
Densidad de Fuerza|Family|Densidad de fuerza||Cada $f_{b}inleft{ f_{b}right} $ es un campo vectorial real y acotado sobre $betatimes Ktimes E^{3}times T$.<br>Si $bhat{=}sigma$, entonces $f_{b}(b,k,x,t)$ representa la fuerza por unidad de volumen sobre el cuerpo $sigma$.|Bunge, 1967, CM 3.1
Densidad de Masa|Family|Densidad de masa||Cada $rhoinleft{ rhoright} $ es una función continua y acotada de $beta$ al conjunto de los reales no negativos.<br>Si $bhat{=}sigma$, entonces $rho(b,x,t)$ representa la densidad de masa de $rho$ en $x$,$t$.|Bunge, 1967, CM 1.5
Estrés|Family|Estrés del cuerpo||Cada $mathrm{Tinleft{ mathrm{T}right} }$ es un campo tensorial real y acotado de valencia (2,0) sobre $betatimes Ktimes E^{3 }times T$.<br>Si $bhat{=}sigma$ y $betahat{=}pi$, entonces $mathrm{T(beta,K,x,t)}$ representa la tensión del cuerpo en la partícula $ pidot{in}sigma$.|Bunge, 1967, CM 3.2
Fuerza Aplicada|Family|Fuerza Aplicada||Cada $F^{e}inleft{ F^{e}right}$es un vector real evaluado en $Sigmatimes Ktimes E^{3}times T$.<br>El valor de $F^{e}$ en una sextupla dada $leftlangle sigma,k,x,trightrangle $ representa la fuerza externa actuando sobre $sigma$, relativa al marco $k$, en el lugar $x$ y en el instante $t$.|Bunge, 1967, p. 134 PM 3.3
Fuerza entre Partículas|Family|Fuerza entre partículas||Cada $F^{i}inleft{ F^{i}right} $ es un vector real evaluado en $SigmatimesSigmatimes Ktimes E^{3}times T$.<br>El valor de $F^{i}$ en una séptupla dada $leftlangle sigma,sigma',k,x,trightrangle $ representa la fuerza ejercida por $sigma'$ on $sigma$ relativa a $k$ en $x$ y $t$.|Bunge, 1967, PM 3.4
Fuerza Externa|Family|Fuerza externa||Cada $F^{e}inleft{ F^{e}right}$ es un vector de valor real en $Sigmatimes Ktimes E^{3}times T$.<br>El valor de $F^{e}$ en cualquier 6-tupla $leftlangle sigma,k,x,trightrangle $ representa la fuerza externa que actúa sobre $sigma$, relativa al marco $k$, en el lugar $x$ y en el instante $t$.|Bunge, 1967, PM 3.3
Fuerza Inter-partículas|Family|Fuerza inter-partículas||Cada $F^{i}inleft{ F^{i}right} $ es un vector real evaluado en $SigmatimesSigmatimes Ktimes E^{3}times T$.<br>El valor de $F^{i}$ en una séptupla dada $leftlangle sigma,sigma',k,x,trightrangle $ representa la fuerza ejercida por $sigma'$ on $sigma$ relativa a $k$ en $x$ y $t$.|Bunge, 1967, PM 3.4
Hamiltoniano|Family|Hamiltoniano||Operador o función matemática que codifica la energía total de un sistema físico. Normalmente se define en términos de las coordenadas generalizadas del sistema y sus momentos conjugados. El representa la suma de las energías cinética y potencial del sistema.|Bunge, 1967, p. 113, 123
Lagrangiano|Family|Lagrangiano||Un Lagrangiano es una función matemática que resume la dinámica de un sistema físico. Normalmente se define como la diferencia entre la energía cinética y la energía potencial del sistema, expresada en términos de las coordenadas generalizadas del sistema y sus derivadas temporales.|Bunge, 1967, p. 118, 123
Masa|Family|Familia de funciones representando la masa||$M$ Es una función de $Sigma$ al conjunto $mathbb{R^{+}}$ de reales no negativos.<br>El valor de $M$ en $sigma,inSigma$ representa la masa (inertia) de $sigma$.|Bunge, 1967, PM 3.1
