Independent,Explanation,Dependent,Atributo,Class
PM 1.1 Tiempo,"$T$ es un intervalo de línea real.
Cada $t$ representa un instante de tiempo.
La relación $\leq$ que ordena $T$ significa “más temprano que, o simultáneo a.”",,T,Chronogeometrical
PM 1.2 E3: Espacio físico euclideano,"$E^{3}$ es un espacio euclideano 3-dimensional.
$E^{3}$ representa (mapea) el espacio ordinario.",,E3,Chronogeometrical
SR 4  E3R: Una variedad que mapea el espacio local,"$E^{3}$ es un espacio euclideano tridimensional con producto interno.
$E^{3}$ representa al espacio ordinario relativo a (como visto desde) cualquier $i\subset I$ dado.",,E3R,Chronogeometrical
CEM 1.4 M3: Variedad que representa el espacio físico,"$M^{3}$ es una variedad diferenciable 3-dimensional.
$M^{3}$ representa el espacio físico.",,M3,Chronogeometrical
GR 2.1 M4: Variedad de 4D que representa el espacio-tiempo físico,"$M^{4}$ es una variedad diferenciable 4-dimensional de clase $C^{2}$.
Para cada punto $x\subset M^{4}$, existe una vecindad de $x$ sobre la cual un sistema de coordenadas local puede ser dado (definido).
las funciones $f^{\mu}$ que mapean conjuntos de coordenadas vecinas entre sí son continuas y tienen derivadas continuas hasta de segundo orden en $M^{4}$.
$M^{4}$ representa el espacio físico.",,M4,Chronogeometrical
SR 5 tR: El rango de la función de hora local,"$T$ es un intervalo de línea real
$T$ es el rango de la función de tiempo que satisface los axiomas de la teoría del tiempo local.
Cada subconjunto $t\subset T$ representa un instante de tiempo t.",,tR,Chronogeometrical
SR 8 Cotiempo,"Por cada $t$, $t'\in I$, los cotiempos asociados son tales que $\frac{\partial X_{0}}{\partial X'_{0}}$ existe y es positiva.",,Cotiempo,Chronogeometrical
PM 2.1 Partículas puntuales,"$\Sigma$ es un conjunto numerable no vacío.
Cada $\Sigma$ is una partícula",,Partículas,Referents
CM1.1 Cuerpos,"$\Sigma$ es un conjunto numenable no- vacío.
Cada $\Sigma$ es un cuerpo",,Cuerpos,Referents
CEM 1.1 Campos electromagnéticos,"$\Phi$ es un conjunto no vacío.
Cada $\Phi$ es un campo electromagnético.",,Campos electromagnéticos,Family
CEM 1.2 Cuerpos cargados,"$\Sigma$ es un conjunto no vacío.
Cada $\Sigma$ es un cuerpo cargado.",,Cuerpos cargados,Referents
GR 1.1 Campos gravitatorios,"$\Sigma$ es un conjunto no vacío.
Cada $\Sigma$ representa un campo gravitacional.",,Campos gravitacionales,Referents
GR 1.2 Entidades físicas distintas de los campos gravitatorios,"$\overline{\Sigma}$ es un conjunto no vacío disjunto de sigma.
Cada $\overline{\Sigma}$ representa un sistema físico distinto al campo gravitacional.",,Campos no gravitacionales,Referents
SR 1 Sistema físico (material o no),"$\Sigma\neq\textrm{Ø}$.
Cada $\sigma\subset\Sigma$ representa un sistema físico.",,Sistemas físicos,Referents
SR 2 Señales electromagnéticas,"$S\neq\emptyset l$ and $S\subset\Sigma$.
Cada $s\in S$ representa una señal electromagnética.",,Señales electromagnéticas,Referents
PM 2.2 Postulado: Una vez que una partícula siempre una partícula,"Para dos $t$ diferentes, $t'\in T$, o $\sigma\in\Sigma$ en $t$, tenemos $\sigma\subset\Sigma$ en $t'$.
Se necesita este postulado para garantizar las predicciones y retrodicciones calculadas para una $Sigma$ en leyes de movimiento y cualquier condición inicial referirá a $Sigma$.",,Postulado,Tip
CM1.3 Familia de funciones vectoriales que representan la posición de una partícula,"$X$ es continuo y está acotado para cada $\beta$, $k$ y $t$.
$X(\beta,k,t)$ representa el lugar (localización) de la partícula $\pi$ del cuerpo $\sigma$, relativa al marco $k$ en el instante $t$.",,{X},Family
SR 6 Posición de un sistema sigma€Sigma,"$\left\{ X\right\} $ es una familia de funciones no vacía.
Cada $X\in\left\{ X\right\} $ es una función de $\Sigma\times I\times T$ a $R^{3}$. 
$X\left(\sigma,i,t\right)$ representa la posición de un sistema de puntos $\sigma\subset\Sigma$, que refiere al marco $\tau$, en el instante $t$ relativo a $\tau$.
Para cada evento puntual existe una séptupla $\left\langle \sigma,s,\tau,X_{0},X_{1},X_{2},X_{3}\right\rangle \hat{=}$ evento.",,{XR},Family
