Attribute|Class|Title|Formula|Explanation|Reference
(dt ⊗ K) = 0|Cond|Constricción en la geometría temporal|$(dt\otimes K)_{1a2}=0$|Esta ecuación de campo impone restricciones a la geometría temporal, especificando que no es afectada por el tensor de curvatura de Riemann $K$|Will, 1983, p. 101
Curvatura = 0|Cond|$Riem(\Gamma)=0$|$Riem(\Gamma)=0$|El tensor de curvatura de Riemann es cero en todo el espacio. En Will se le encuentra como “$K=0$”. La primer condición de homogeneidad de Trautman.|Friedman, 1983, p. 78, 88, 93, 129
D(dt) = 0|Cond|$\overline{D}(dt)=0$|$\overline{D}(dt)=0$|La derivada covariante igual a cero asegura que los cortes de simultaneidad sean planos.|Friedman, 1983, p. 78, 88, 93, 101
D(g) = 0|Cond|$\overline{D}(g)=0$|$\overline{D}(g)=0$|Condición que preserva ángulos y distancias cuando se transporta de forma paralela un vector a lo largo de una curva.|Friedman, 1983, p. 129, 180
D(h) = 0|Cond|$\overline{D}(h)=0$|$\overline{D}(h)=0$|La derivada covariante de h describe la geometría euclidiana.|Friedman, 1983, p. 78, 88, 93, 101
D(V) = 0|Cond|$\overline{D}(V)=0$|$\overline{D}(V)=0$|Que la derivada covariante de $V$ sea igual a cero hace que las líneas en el aparejo del espacio-tiempo sean geodésicas.|Friedman, 1983, p. 78
dt(V) = 1|Cond|$dt(V)=1$||La derivada de V igual a 1 hace que las lineas de acordonamiento del espacio-tiempo sean tipo tiempo.|Friedman, 1983, p. 78,106
h(dt,w)=0|Cond|$h(dt,w)=0$|$h(dt,w)=0$|Condición de ortogonalidad que describe la geometría euclidiana.|Friedman, 1983, p. 78, 88, 101
H2*K = H2*K|Cond||$H_{*}^{2}K(w,v,X,Y)=H_{*}^{2}K(v,w,Y,X)$||
T = 0|Cond|$T_{\mu\nu}\rightarrow0$: Polvo||El tensor de Estrés-Energía-Momentum es casi cero (modelos de polvo).|
Torsión = 0|Cond|$S_{\mu\nu}^{\lambda}=0$|$S_{\mu\nu}^{\lambda}=0$|El tensor de torsión de Cartan se desvanece. Condición de homogeneidad de Trautman|
Ec. de Einstein|FieldEq|Ecuación de Einstein|$G_{1}^{*}G_{2}^{*}Ric-\frac{1}{2}Rg^{*}=-8\pi kT$|La materia le dice al espacio cómo curvarse y la curvatura le dice a la materia cómo moverse.|
Ec. de Poisson|FieldEq|Ec. de Poisson|$del(\Phi)=4\pi k\rho$||Friedman, 1983, p. 93
Ec. de Poisson 2|FieldEq||$Ric=-4\pi\rho dt\otimes$$dt$|Equivalente covariante a la Ec. de Poisson.|Friedman, 1983, p. 103
Conexión Afín|GO|$\Gamma$: Conexión afín||Conexión generalizada para campos vectoriales en espacios curvos donde la torción y la no-metricidad no necesariamente son cero.|
Conexión Métrica|GO|Conexión métrica||También llamada la conexión Levi-Civita, es dependiente de la métrica $g$. Nos da información acerca de cómo transportar vectores a lo largo de una curva conservando la métrica.|
