Independent,Explanation,Dependent,Atributo,Clase,,,,
Dimensión: $N=4$,La dimensión de un espacio vectorial es la cardinalidad de una base para la variedad diferenciable M.,Dimension = 4,N,Tip,,,"N: ""Tip""",
$M$: Variedad diferenciable,Un espacio topológico que asemeja el espacio euclidiano en las vecindades de cada punto. Puede coordinatizarse por $R^{n}$ mediante una familia de homomorfismos.,Differentiable manifold,M,M,,,"        ""M"": ""M""",
$\Gamma$: Conexión afín,Una conexión generalizada para campos vectoriales en espacios curvos donde la torsión y la no-metricidad no son necesariamente cero.,Affine connection,Conexión Afín,GO,,,"        “Conexión Afín"": ""GO""",
$\Gamma*$: Conexión afín independiente,Una conexion para espacios métrico-afines donde la no-metricidad y la torsión son distintas de cero., independent of the metric tensor that tells us about straitest curve,Conexión Métrico-Afín,GO,,,"        ""Metric Affine Connection"": ""GO""",
$g_{\mu\nu}$: Tensor métrico pseudo-Riemanniano,Nos habla de la curva más corta.,semi-Riemannian metric tensor,g,GO,,,"        ""g"": ""GO""",
$\psi$: Campos de materia,,Matter fields,Phi,GO,,,"        ""Phi"": ""GO""",
$T_{\mu\nu}$: Tensor de Estrés-Energía-Momentum,"Un campo tensorial simétrico de tipo $(0,2)$ y signatura $<1,3>$. Provee una noción de distancia y ángulo entre vectores.",$T_{\mu\eta}=\frac{-2}{\sqrt{-g}}\frac{\delta S_{M}}{\delta g^{\mu\eta}}$,T,GO,,,"        ""T"": ""GO""",
$R$: Escalar de Ricci,$R=g^{\mu\nu}R_{\mu\nu}$,Ricci Scalar,R,GO,,,"        ""R"": ""GO""",
$\Re$: Escalar de Ricci Afín,\Re=g^{\mu\nu}\Re_{\mu\nu},,R*,GO,,,"        ""R*"": ""GO""",
$\Gamma_{\mu\nu}^{\lambda}$  y $g_{\mu\nu}$ son dependentes,La conexión y el tensor métrico dependen uno del otro.,$\Gamma_{\mu\nu}^{\lambda}$  and $g_{\mu\nu}$ are dependent,Dependiente,Cond,,,"        ""Dependent"": ""Cond""",
$\Gamma_{\mu\nu}^{\lambda}$  y $g_{\mu\nu}$ son independentes,La conexión puede expresarse de forma independiente al tensor métrico.,,Independiente,Cond,,,"        ""Independent"": ""Cond""",
$f(R)=R$,La función es el escalar de Ricci, f(R) = R, f(R) = R,Cond,,,"        ""f(R) = R"": ""Cond""",
$f(R)\neqR$,La función que depende de R es distinta al escalar de Ricci, $f(R)\neqR$, f(R) ≠ R,Cond,,,"        ""f(R) not R"": ""Cond""",
$f’(R)=1$,La primera derivada de la función en R es igual a 1.,f’(R) = 1,f’(R) = 1,Cond,,,"""f’(R)=1"": ""Cond""",
$f''(R)=0$,La segunda derivada de la función en R es igual a cero,f’’(R) = 0,f’’(R) = 0,Cond,,,"""f’’(R) = 0"": ""Cond""",
$f''(R)\neq0$,,f’’(R) not 0,f’’(R) ≠ 0,Cond,,,"""f’’(R) not 0"": ""Cond""",
$f(R^{*})=R^{*}$,"
",,f(R*) = R*,Cond,,,"        ""f(R*) = R*"": ""Cond""",
$f(R^{*})\neq R^{*}$,,$f(\Re))\neq\Re$,f(R*) ≠ R*,Cond,,,"        ""f(R*) not R*"": ""Cond""",
$f’(R^{*})=1$,,,f’(R*) = 1,Cond,,,"""f’(R*) = 1"": ""Cond""",
$f’’(R^{*})=0$,,,f’’(R*) = 0,Cond,,,"""f’’(R*) = 0"": ""Cond""",
$f’’(R^{*})\neq0$,,,f’’(R*) ≠ 0,Cond,,,"""f’’(R*) not 0"": ""Cond""",
$T_{\mu\nu}=0$,El tensor de Estrés-Energía-Momentum es prácticamente cero (polvo).  ,T=0,T = 0,Cond,,,"""T = 0"": ""Cond""",
$R=0$,El escalar de Ricci es cero.,R=0,R = 0,Cond,,,"""R = 0"": ""Cond""",
$R=Cte$,El escalar de Ricci es constante.,R=Cte,R = C,Cond,,,"        ""R = C"": ""Cond""",
C<0,,,C < 0,Cond,,,"""C < 0"": ""Cond""",
C>0,,,C > 0,Cond,,,"""C > 0"": ""Cond""",
$S_{M}=S_{M}(g_{\mu\nu}\psi)$,Término de materia.,,SM1,Action,,,"""SM1"": ""Action""",
$S_{M}=S_{M}(g_{\mu\nu}\Gamma_{\mu\nu}^{\lambda}\psi)$,Término de materia afín.,,SM2,Action,,,"""SM2"": ""Action""",
$S_{met}=\frac{1}{2\kappa}\intop d^{4}x\sqrt{-g}f(R)+S_{M}(g_{\mu\nu}\psi)$,Acción total para la métrica $f(R)$.,,Ec. 5,Action,,,"""Eq 5"": ""Action""",
Acción a la Palatini: $S_{pal}=\frac{1}{2\kappa}\intop d^{4}x\sqrt{-g}f(\Re)+S_{M}(g_{\mu\nu}\psi)$,La métrica y la conexión son independientes. No se varía sobre la conexión. Note que el nuevo tensor de Ricci es construido independientemente de la conexión: $\Re=g_{\mu\nu}R_{\mu\nu}$.,,Ec. 13,Action,,,"""Eq 13"": ""Action""",
$f'(R)R_{\mu\nu}-\frac{1}{2}f(R)g_{\mu\nu}-\left[\nabla_{\mu}\nabla_{\nu}-g_{\mu\nu}\nabla^{\mu}\nabla_{\mu}\right]f'(R)=\kappa T_{\mu\nu}$,Ecuación de campo de la métrica $f(R)$,,Ec. 6,FieldEq,,,"""Eq 6"": ""FieldEq""",
$R_{\mu\nu}=0$,Si el escalar de Ricci es igual a cero: $R=0$ entonces la ecuación de campo se reduce a: $R_{\mu\eta}=0$,,Ec. 9a,FieldEq,,,"""Eq 9a"": ""FieldEq""",
$R_{\mu\nu}=g_{\mu\nu}\frac{C}{4}$,Si el escalar de Ricci es constante: $R=cte$ entonces la ecuación de campo se reduce a: $R_{\mu\nu}=g_{\mu\nu}\frac{C}{4}$,,Ec. 9b,FieldEq,,,"""Eq 9b"": ""FieldEq""",
$R_{\mu\nu}=-g_{\mu\nu}\frac{C}{4}$,"Si el escalar de Ricci es constante: $R=cte$ entonces la ecuación de campo se reduce a: $R_{\mu\nu}=g_{\mu\nu}\frac{C}{4}$ y el la solución máximamente simétrica es de Sitter en el espacio anti-de Sitter, dependiendo del signo de la constante.",,Ec. 9c,FieldEq,,,"""Eq 9c"": ""FieldEq""",
$f'(\Re)\Re_{\mu\nu}-\frac{1}{2}f(\Re)g_{\mu\nu}=\kappa T_{\mu\nu}$,Ecuación de campo a la Palatini 1,f’(R)R𝞵𝞶-1/2f(R)g𝞵𝞶 = 𝞳GT𝞵𝞶,Ec. 18,FieldEq,,,"""Eq 18"": ""FieldEq""",
$\bar{\nabla}_{\lambda}(\sqrt{-g}f'(\Re)g^{\mu\nu})=0$,Ecuación de campo a la Palatini  2 ($\bar{\nabla}_{\lambda}$) es la derivada covariante definida con una conexión independiente.,,Ec. 19,FieldEq,,,"""Eq 19"": ""FieldEq""",
$G_{\mu\nu}=\frac{\kappa}{f'(R)}\left(T_{\mu\nu}+T_{\mu\nu}^{(eff)}\right)$,Ecuación de campo de Eistein.,,Ec. de Einstein,FieldEq,,,"        ""Einstein’s Eq"": ""FieldEq""",
Hypermomentum: $\Delta_{\lambda}^{\mu\nu}\equiv-\frac{2}{\sqrt{-g}}\frac{\delta S_{M}}{\delta\Gamma_{\mu\nu}^{\lambda}}$,"Cantidad que representa la variación de la acción de materia con respecto a la conexión, lo que imita la definición del tensor de Estrés-Energía-Momentum.",,Hyp,GO,,,"        ""Hyp"": ""GO""",
Tensor de no-metricidad: $Q_{\mu\nu\lambda}\equiv-\bar{\nabla}_{\mu}g_{\nu\lambda}$,Mide la falla de la conexión de conservar de forma covariante la métrica.,,No-metricidad,GO,,,"        ""Non metricity"": ""GO""",
$Q_{\mu\nu\lambda}=0$,El tensor de no-metricidad se desvanece: $Q_{\mu\nu\lambda}=0$,,No-metricidad=0,Cond,,,"""Non metricity = 0"": ""Cond""",
Vectror de Weyl: $Q_{\mu}\equiv\frac{1}{4}Q_{\mu\nu}^{\nu}$,La traza del tensor de no-metricidad con respecto a sus dos últimos índices simétricos.,,Vector de Weyl,GO,,,"        ""Weyl vector"": ""GO""",
$Q_{\mu}=0$,El vector de Weyl se desvanece.,,Vector de Weyl =0,Cond,,,"""Weyl vector = 0"": ""Cond""",
Tensor de torsión de Cartan: $S_{\mu\nu}^{\lambda}\equiv\Gamma_{\left[\mu\nu\right]}^{\lambda}$,La parte antisimétrica de la conexión.,,Torsión,GO,,,"        ""Cartan torsion"": ""GO""",
$S_{\mu\nu}^{\lambda}=0$,El tensor de torsión de Cartan se desvanece.,,Torsión=0,Cond,,,"""Cartan torsion = 0"": ""Cond""",
Ec. 46: $f’(\Re)\Re_{(\mu\nu)}-\frac{1}{2}f(\Re)g_{\mu\nu}=\kappa T_{\mu\nu}$,Ecuación de campo tras variar de manera independiente con respecto a la métrica.,,Ec. 46,FieldEq,,,"""Eq 46"": ""FieldEq""",
Ec. 47: $\frac{1}{\sqrt{-g}}\left[-\bar{\nabla}_{\lambda}\left(\sqrt{-g}f’(\Re)g^{\mu\nu}\right)+\bar{\nabla}_{\sigma}\left(\sqrt{-g}f’(\Re)g^{\mu\sigma}\right)\delta_{\lambda}^{\nu}\right]+2f'(\Re)(g^{\mu\nu}S_{\lambda\sigma}^{\sigma}-g^{\mu\rho}S_{\rho\sigma}^{\sigma}\delta_{\lambda}^{\nu}+g^{\mu\sigma}S_{\sigma\lambda}^{\nu})=\kappa(\Delta_{\lambda}^{\mu\nu}-B_{\lambda}^{[\mu}\delta^{\nu]})$,Ecuación de campo tras variar de manera independiente con respecto a la conexión afín.,Chorizo espantoso!,Ec. 47,FieldEq,,,"""Eq 47"": ""FieldEq""",
Ec. 48: $S_{\mu\nu}^{\sigma}=0$,Ecuación de campo tras variar de manera independiente con respecto al multiplicador de Lagrange.,,Ec. 48,FieldEq,,,"""Eq 48"": ""FieldEq""",
$D_{T_{σ}}T_{σ}=0$,Ley Geodésica. ,DTσTσ=0,Ley Geodésica,MovEq,,,"        ""Geodesic law"": ""MovEq""",
