Attribute|Class|Title|Formula|Explanation|Reference
Acción General|Action|Acción general métrica|$S=\int\left[k_{1}F\left(R,\mathcal{L_{M}}\right)+k_{2}\mathcal{L_{M}}\right]\sqrt{-g}d^{4}x$||
Acción General a la Palatini|Action|Acción general a la Palatini|$S=\int\left[k_{1}F\left(\Re,\mathcal{L_{M}}\right)+k_{2}\mathcal{L_{M}}\right]\sqrt{-g}d^{4}x$||
Ec. 13|Action|Acción a la Palatini|$S_{pal}=\frac{1}{2\kappa}\intop d^{4}x\sqrt{-g}f(\Re)+S_{M}(g_{\mu\nu},\psi)$|La métrica y la conexión son independientes. No se varía sobre la conexión. Note que el nuevo tensor de Ricci es construido independientemente de la conexión: $\Re=g_{\mu\nu}R_{\mu\nu}$.|
Ec. 5|Action|Acción total para la métrica $f(R)$.|$S_{met}=\frac{1}{2\kappa}\intop d^{4}x\sqrt{-g}f(R)+S_{M}(g_{\mu\nu},\psi)$||
Ec. 5-30|Action|Acción para las teorías escalares-tensoriales|$\ensuremath{I=(16\pi)^{-1}\int\left[\phi R-\phi^{-1}w(\phi)g^{\mu\nu}\phi_{,\mu}\phi_{,\nu}+2\phi\lambda(\phi)\right]\times\left(-g\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})}$||Will, 1993, p. 123
Ec. 5-45|Action|Acción para las teorías vectoriales-tensoriales|$I=(16\pi G)^{-1}\int\left[R+wK_{\mu}K^{\mu}R+nK^{\mu}K^{\nu}R_{\mu\nu}-\epsilon F_{\mu\nu}F^{\mu\nu}+\tau K_{\mu;\nu}K^{\mu;\nu}\right]\left(-g\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$,<br>where $F_{\mu\nu}=K_{\nu;\mu}-K_{\mu;\nu}$||Will, 1993, p. 127 Eq 5.45
Ec. 5-67|Action|Acción para la teoría bimétrica de Rosen|$I=-(16\pi G)^{-1}\int\eta^{\mu\nu}g^{\alpha\beta}g^{\gamma\delta}\left(g_{\alpha\gamma\mid\mu}g_{\beta\delta\mid\nu}-\frac{1}{2}g_{\alpha\beta\mid\mu}g_{\gamma\delta\mid\nu}\right)\times\left(-\eta\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$||Will, 1993, p. 131
Ec. 5-73|Action|Acción para la teoría bimétrica de Rastall|$I=-(16\pi G)^{-1}\int F(N)K^{\mu;\nu}K_{\mu;\nu}\left(-g\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$||Will, 1993, p. 132
Ec. 5-82|Action|Acción para las teorías bimétricas BSLL|$I=-(16\pi)^{-1}\int\left(aB^{\mu\nu\mid\alpha}B_{\mu\nu\mid\alpha}+fB_{,\alpha}B^{,\alpha}\right)\left(-n\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$||Will, 1993, p. 134
Ec. 5-93|Action|Acción para las teorías estratificadas|$I=(8\pi)^{-1}\int\left[e^{-1}K^{\mu\mid\nu}K_{\mu\mid\nu}-\phi_{,\mu}\phi^{,\mu}-\left[f_{3}\left(\phi\right)+1\right]\left(\phi_{,\mu}t^{,\mu}\right)^{2}+\kappa_{1}B^{\mu\nu\mid\alpha}B_{\mu\nu\mid\alpha}+\kappa_{2}B_{\mid\nu}^{\mu\nu}\phi_{,\mu}\right]\left(-n\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$||Will, 1993, p. 136
F(R*,Lm)|Action|||La acción es una función del escalar de Ricci afín y del Lagrangiano de materia.|
F(R*,T)|Action|||La acción es una función del escalar de Ricci afín y la traza del tensor de estrés-energía-momento.|
F(R,Lm)|Action|$F(R,L_{m})$||La acción es una función del escalar de Ricci y el Lagrangiano de materia.|
