Independent,Explanation,Dependent,Atributo,Clase
Dimensión: N = 4,Una tipificación de la variedad diferenciable,Dimension: N=4,N,Tip
M: Variedad diferenciable,"Un espacio topológico que se parece al espacio euclidiano cerca de cada punto. Puede ser coordinado por Rn a través de una familia de homeomorfismos.
",M: Differentiable manifold,M,M
$\left\{ _{\mu\nu}^{\lambda}\right\} $: Conexión Métrica,"También llamada conexión Levi-Civita, depende de la métrica $g$. Nos da información sobre cómo transportar vectores a lo largo de una curva, conservando la métrica.",$\left\{ _{\mu\nu}^{\lambda}\right\} $: Metric connection,Conexión Métrica,GO
$g$: Campo tensorial métrico,"Un campo tensor simétrico de tipo $(0,2)$ y signatura $<1,3>$. Proporciona una sensación de distancia y ángulos entre vectores.",$g_{\mu\nu}$: Metric tensor,Tensor Métrico,GO
$\psi$: Campos de materia,,,Psi,GO
$T$: Campo tensorial de Estrés-Energía-Momentum,"Campo tensorial simétrico $(2,0)$",$T_{\mu\nu}$: Stress-Energy-Momentum tensor,T,GO
$R$: Escalar de Ricci,$R=g^{\mu\nu}R_{\mu\nu}$,$R$:Ricci scalar,Escalar de Ricci,GO
Dependencia,La conexión y el tensor métrico dependen el uno del otro.,Dependency,Dependiente,Tip
$f(R)=R$,La función dependiente del escalar de Ricci es de primer orden.,$f(R)=R$,f(R) = R,Cond
$f’(R)=1$,La primera derivada de la función dependiente del escalar de Ricci es uno.,$f’(R)=1$,f’(R) = 1,Cond
$f’’(R)=0$,La segunda derivada de la función del escalar de Ricci es cero,$f’’(R) =0$,f’’(R) = 0,Cond
$\eta$: Métrica de Minkowski,"Métrica plana no dinámica. Como $Riem(\gamma)=0$, siempre podemos elegir coordenadas globales en las que $\eta_{\mu\nu}=diag(-1,1,1,1)$",,eta,GO
$Riem(\Gamma)=0$,El tensor de curvatura de Riemann de la conexión afín es cero. $K=0$. Es una de las condiciones homogéneas de Trautman.,,K = 0,Cond
"$S_{M}=S_{M}(g_{\mu\nu},\psi)$",Término de materia.,"SM = SM ( g𝞵𝞶, 𝚪𝞴𝞵𝞶 ,𝞧 )",SM1,Action
