Independent,Explanation,Dependent,Atributo,Clase
Dimensión: N=4,Una tipificación de la variedad diferenciable M.,Dimension: N=4,N,Tip
M: Variedad diferenciable,"Un espacio topológico que se asemeja al espacio euclideano en la vecindad de cada punto. Puede ser coordinatizado por $R^{n}$ mediante una familia de homeomorfismos.",M: Differentiable manifold,M,M
$\gamma$: Conexión Afín,Una conexión generalizada para campos vectoriales en espacios curvos donde la torsión y la no-metricidad no son necesariamente nulos.,$\gamma$: Affine connection,Conexión Afín,GO
$\left\{ _{\mu\nu}^{\lambda}\right\} $: Conexión Métrica,"También llamada la conexión Levi-Civita, es dependiente de la métrica $g$. Nos da información sobre cómo transportar vectores a lo largo de una curva mientras conservamos la métrica.",$\left\{ _{\mu\nu}^{\lambda}\right\} $: Metric connection,Conexión Métrica,GO
Conexión Métrico-Afín,Una conexión para espacios métrico-afines donde la no-metricidad y la torsión no son nulosl.,Metric-Affine connection,Conexión Métrico-Afín,GO
$g$: Tensor Métrico,"Un campo tensorial simétrico de tipo $(0,2)$ y signatura $<1,3>$. Provee una noción de distancia y de ángulo entre vectores.",$g_{\mu\nu}$: Metric tensor,Tensor Métrico,GO
$\psi$: Campos de materia,,,Psi,GO
$T$: Campo tensorial de Estrés-Energía-Momentum,"Campo tensorial simétrico tipo $(2,0)$",$T_{\mu\nu}$: Stress-Energy-Momentum tensor,T,GO
$R$: Escalar de Ricci,$R=g^{\mu\nu}R_{\mu\nu}$,$R$:Ricci scalar,Escalar de Ricci,GO
$\Re$: Escalar de Ricci Afín,\Re=g^{\mu\nu}\Re_{\mu\nu},$\Re$: Affine Ricci scalar,R2,GO
Dependencia,La conexión y el tensor métrico dependen el uno del otro.,Dependency,Dependiente,Tip
Independencia,La conexión puede ser expresada de forma independiente al tensor métrico.,Independency,Independiente,Tip
$f(R)=R$,La función dependiente del escalar de Ricci es de primer orden.,$f(R)=R$,f(R) = R,Cond
$f(R)≠R$,La función dependiente del escalar de Ricci es de orden superior.,$f(R)≠R$,f(R) ≠ R,Cond
$f’(R)=1$,La primera derivada de la función dependiente del escalar de Ricci es igual a uno.,$f’(R)=1$,f’(R) =1,Cond
$f’’(R) =0$,La segunda derivada de la función del escalar de Ricci es cero.,$f’’(R) =0$,f’’(R) = 0,Cond
$f’’(R)\neq 0$,La segunda derivada de la función del escalar de Ricci es distinto de cero.,$f’’(R)≠-0$,f’’(R) ≠ 0,Cond
$f(\Re)=\Re$,La función del escalar de Ricci afín es de primer orden.,$f(\Re)=\Re$,f(R*) = R*,Cond
$f(\Re)\neq\Re$,La función del escalar de Ricci afín es de orden superior.,$f(\Re)\neq\Re$,f(R*) ≠ R*,Cond
$f'(\Re)=1$,La primera derivada del escalar de curvatura afín es igual a uno.,$f'(\Re)=1$,f’(R*) = 1,Cond
$f''(\Re)=0$,La segunda derivada de la función del escalar de Ricci afín es cero.,$f''(\Re)=0$,f’’(R*) = 0,Cond
