Independent,Explanation,Dependent,Atributo,Class
PM1.1 Time,"$T$ is an interval of real line. 
Every $t$ represents an instant of time. 
the relation $\leq$ that orders $T$ means “earlier than or simultaneous with.”",,T,Chronogeometrical
PM 1.2 E3: Euclidean 3D-space,"$E^{3}$ is 3-dimensional  Euclidean space. 
$E^{3}$ represents (maps) ordinary space.",,E3,Chronogeometrical
SR 4 E3R: A manifold mapping local space,"$E^{3}$ is a tridimensional Euclidean space with inner product. 
$E^{3}$ represents ordinary space relative to (a”as seen from” any given $i\subset I$).",,E3R,Chronogeometrical
CEM 1.4 $M^{3}$ ,"$M^{3}$ is a 3-dimensional  differentiable manifold. 
$M^{3}$ represents physical space.",,M3,Chronogeometrical
GR 2.1 $M^{4}$ ,"$M^{4}$ is 4-dimensional differentiable manifold of class $C^{2}$. 
For every point $x\subset M^{4}$, there exists a neighborhood of $x$ over which a local coordinate system can be given (defined).
the function s fmu that map neighboring coordinate sets onto one another are continuous and have continuous derivatives up to 2nd order in $M^{4}$. 
$M^{4}$ represents physical space.",,M4,Chronogeometrical
SR 5 tR:  The range of the local time function,"$T$ is an interval of the real line. 
$T$ is the range of the time function satisfying the axioms of the local time theory. 
Every $t\subset T$ represents an instant of t-time. ",,tR,Chronogeometrical
SR 8 Cotime,"For every $i$, $i'\in I$, the associated cotimes are such that $\frac{\partial X_{0}}{\partial X'_{0}}$ exists and is positive.",,Cotime,Chronogeometrical
PM 2.1 Point particles,"$\Sigma$ is a nonempty denumerable set. 
Every $\Sigma$ is a particle.",,Particles,Referents
CM1.1 Bodies,"$\Sigma$ is a nonempty denumerable set. 
Every $\Sigma$ is a body.",,Bodies,Referents
CEM 1.1 Electromagnetic fields,"$\Phi$ is a nonempty set. 
Every $\Phi$ is an e.m. field.",,EM Fields,Family
CEM 1.2 Charged bodies,"$\Sigma$ is a nonempty set. 
Every $\Sigma$ is a charged body.",,Charged Bodies,Referents
GR 1.1 Gravitational fields,"$\Sigma$ is a nonempty set. 
Every $\Sigma$ represents a gravitational field.",,Gravitational fields,Referents
GR 1.2 Physical entities other than gravitational fields,"$\overline{\Sigma}$ is a nonempty set disjoint from sigma. 
Every $\overline{\Sigma}$ represents a physical system other than  a gravitation field.",,Non Gravitational Fields,Referents
SR 1 Physical system (material or not),"$\Sigma\neq\emptyset$. 
Every $\sigma\subset\Sigma$ represents a physical system.",,Physical Systems,Referents
SR 2 Electromagnetic signals,"$S\neq\emptyset$ and $S\subset\Sigma$. 
Every $s\in S$ represents an electromagnetic signal.",,EM Signals,Referents
PM 2.2 Postulate: Once a particle always a particle,"For any two different $t$, $t'\in T$, ir $\sigma\in\Sigma$ at $t$, then $\sigma\subset\Sigma$ at $t’$. 
This postulate is needed in order to warrant that predictions and retrodictions calculated for a $Sigma$ on laws of motion and initial conditions will still refer to $Sigma$.",,Postulate,Tip
CM1.3 Position of a particle,"$X$ is continuous and bounded for every $\beta$, $k$, and $t$. 
$X(\beta,k,t)$ represents the place (location) of the particle $\pi$ of the body $\sigma$, relative to the frame $k$ at the instant $t$.",,{X},Family
SR 6 Position of a system,"$\left\{ X\right\} $ is a nonempty family of functions. 
Every $X\in\left\{ X\right\} $ is a function from $\Sigma\times I\times T$ to $R^{3}$. 
$X\left(\sigma,i,t\right)$ represents the position of a point system $\sigma\subset\Sigma$, referred to the frame $\tau$, at the instant $t$ relative to $\tau$. 
For every point event there exists a septuple $\left\langle \sigma,s,\tau,X_{0},X_{1},X_{2},X_{3}\right\rangle \hat{=}$ event.",,{XR},Family
GR 4.2  {XGR}: Position of a point system,"For every $i=1,2,3$, $\left\{ X_{i}\right\} $ is a nonempty family of functions. 
Every $X_{i}\in\left\{ X_{i}\right\} $ is a function from $\overline{\Sigma}\times K\times T$ to $\mathbb{R}$, continuous w.r.t. $t$. 
$X(\bar{\sigma},k,t)$ represents the position of a point system $\bar{\sigma}\in\bar{\Sigma}$, referred to $k$, at the instant $t$ relative to $k$.",,{XGR},Family
"PM 2.3, CM 2.1, GR 4.1 Physical reference frames","$K$ is a nonempty denumerable set. 
Every $k$ is a rigid system of corpuscles at least four of which lie on the vertices of a regular trihedral. 
For every $k$ there exists a Cartesian system of axes $e=\left\langle e_{1},e_{2}.e_{3}\right\rangle $ such that $e\hat{=}k$. 
No $k$ interacts with any $\sigma\subset\Sigma$ that is not a part of $k$. 
The configuration of every $k\in K$ is time-independent.",,K,Frames
SR 3 Inertial reference frames,"$I\neq\emptyset\land I\subset\Sigma-S$. 
Every $i\in I$ is an inertial reference frame. 
For every $i\in I$ there is a basis $e=\left\langle e_{1},e_{2}.e_{3}\right\rangle $ such that $e\hat{=}i$.",,Inertial frame,Frames
PM 2.5 Postulate: Position and velocity values uniquely identify a particle,"For any two $\sigma,\sigma'\in\Sigma$ and every $k\in K$ and every $t’\in T$, if $X\left(\sigma,t,k\right)=X\left(\sigma',t,k\right)$ and $\dot{X}\left(\sigma,t,k\right)=\dot{X}\left(\sigma',t,k\right)$, then $\sigma=\sigma’$.
In words: the position and velocity values uniquely identify (characterize) a particle. Coordinates alone are insufficient for this: thus two different particles may be at the same place at the instant of collision but then they will have different (vector) velocities.",,PM 2.5,Tip
PM 3.1 Mass,"$M$ is a function from $\Sigma$ to the set $\mathbb{R^{+}}$ of nonnegative reals. 
The value of $M$ at $\sigma,\in\Sigma$ represents the mass (inertia) of $\sigma$. ",,Mass,Family
PM 3.2 The mass of a system of point particles equals the sum of the partial masses,"If $\sigma_{i}\in\Sigma$ for every finite $i\in N$, then $M\left(\underset{i}{\dot{\sum}}\sigma_{i}\right)=\underset{i}{\sum}M(\sigma_{i})$. ",,PM 3.2,Tip
PM 3.3  External force,"Every $F^{e}\in\left\{ F^{e}\right\}$ is a real valued vector on $\Sigma\times K\times E^{3}\times T$. 
The value of $F^{e}$ at any given 6-ple $\left\langle \sigma,k,x,t\right\rangle $ represents the external force acting on $\sigma$, relative to the frame $k$, at the place $x$ and the instant $t$.",,External Force,Family
PM 3.4 Inter-particle force,"Every $F^{i}\in\left\{ F^{i}\right\} $ is a real valued vector on $\Sigma\times\Sigma\times K\times E^{3}\times T$. 
The value of $F^{i}$ at any given 7-ple $\left\langle \sigma,\sigma',k,x,t\right\rangle $ represents the force extended by $\sigma'$ on $sigma$ relative to $k$ at $x$ and $t$.",,Interparticle Force,Family
PM 3.5 Newton’s laws,"For every $\sigma,\sigma'\in\Sigma$, every $t\in T$, every $F^{e}\in\left\{ F^{e}\right\} and every $F^{i}\in\left\{ F^{i}\right\}, there is at least one $k\in K$ such that 
$\dot{p}(\sigma,t,k)=F^{e}(\sigma,t,k)+\underset{\sigma’\neq\sigma}{\sum}F^{i}(\sigma,\sigma’,t,k)$ 
and
$F^{i}(\sigma,\sigma’,t,k)=-F^{i}(\sigma',\sigma,t,k)$.",,F=ma,EqMotion
CM 1.4 Transformation,"For every $X\in\left\{ X\right\}$, every $b\in\beta$ and every $t\in T$, the map $X:b\rightarrow C$ is 1:1, onto and continuous.
For every $X\in\left\{ X\right\}$, every $b\in\beta$ and every $t\in T$ the image $C=X(b,t)$ of $b$ under $X$ is a compact set with a piecewise continuous boundary $\partial X(b,t)$.
For every $\sigma\in\Sigma$ and $t\in T$ there exists an $X\in\left\{ X\right\} $ such that the image $X(b,t)$ of $b$ under $X$ represents the place occupied by the body sigma represented by $b$.",,Map X:b¬C,Transformation
CM 1.5 Body density,"Every $\varrho\in\left\{ \varrho\right\} $ is a bounded and continuous function from $\beta$ to the set of nonnegative reals. 
If $b\hat{=}\sigma$, then $\varrho(b,x,t)$ represents the mass density of $\varrho$ at $x$,$t$.",,Mass density,Family
